,Unnamed: 0,name,details,ingredients,price,best-seller,Step
0,0,Isntree - Real Mugwort Clay Mask - 100ml,"Cruelty Free: Yes


Product Type: Wash-off Mask


Product Unit: 100ml


Skin Concern: Dryness/ Hydration, Irritation/ Calming, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily",,10.09€,Best Sellers,mask
1,1,I'm From - Honey Mask - 30g,"Cruelty Free: Yes


Product Type: Wash-off Mask


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily","Honey, Caprylic/Capric Triglyceride, PEG-7 Glyceryl Cocoate, Disteardimonium Hectorite, Macadamia Ternifolia Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Pentylene Glycol, Microcrystalline Wax, Polysorbate 20, Butyrospermum Parkii (Shea) Butter, Beeswax, Tocopheryl Acetate, Argania Spinosa Kernel Extract, Corylus Avellana (Hazelnut) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Snail Secretion Filtrate, Water, Bambusa Vulgaris Water, Nelumbo Nucifera Flower Water, Aloe Barbadensis Leaf Water, Propolis Extract, Beta-Glucan, Bee Venom, Citrus Paradisi (Grapefruit) Fruit Extract, Sophora Flavescens Extract, Eugenia Caryophyllus (Clove) Flower Extract, Eucalyptus Globulus Leaf Extract, Punica Granatum Fruit Extract, Bambusa Vulgaris Extract, Butylene Glycol, Glycerin",7.99€,Cruelty Free,mask
2,2,SOME BY MI - Super Matcha Pore Clean Clay Mask - 100g,"Product Type: Wash-off Mask


Skin Concern: Dryness/ Hydration, Irritation/ Calming, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily, Sensitive",,,no,mask
3,3,Isntree - Real Rose Calming Mask - 100ml,"Cruelty Free: Yes


Product Type: Gel Mask


Skin Concern: Dryness/ Hydration, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Rosa Damascena Flower Water, Glycerin, Water, Methylpropanediol, 1, 2-Hexanediol, Rosa Gallica Flower Powder, Polyglyceryl-10 Laurate, Phellodendron Amurense Bark Extract, Glyceryl Polymethacrylate, Xanthan Gum, Trehalose, Theobroma Cacao (Cocoa) Seed Extract, Tromethamine, Ethylhexylglycerin, Dextrin, Geranium Maculatum Oil, Sodium Hyaluronate, Disodium Edta, Carbomer, Rosa Canina Fruit Oil, Alanine, Arginine, Glycine, Proline, Serine Sodium PCA, Sorbitol, Threonine, Glutamic Acid, Lysine",8.99€,Cruelty Free,mask
4,4,BE PLAIN - Greenful Bubble Wash-off Mask - 50g,"Product Type: Wash-off Mask


Skin Concern: Blackheads, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily",,,no,mask
5,5,heimish - Black Tea Mask Pack - 110ml,"Cruelty Free: Yes


Product Type: Wash-off Mask


Skin Concern: Acne, Dryness/ Hydration, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily, Sensitive",,10.99€,Cruelty Free,mask
6,6,PETITFEE - Hydrogel Mask Pack - 5pcs - #Black Pearl & Gold,"Product Type: Gel Mask


Product Unit: 5pc


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily",,,no,mask
7,7,I'm Sorry For My Skin - Relaxing Jelly Mask - 1pc,"Product Type: Mask Sheet


Product Unit: 1pc


Skin Concern: Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Purified water, Butylene Glycol, glycerin, grapefruit extract, BIS-PEG-18 METHYL ETHER DIMETHYL SILANE, PEG-60 Hydrogenated Castor Oil, Ammonium acryloyldimethyltaurate / Vpicopolymer, Polyacrylic acid, Dimethicone, Indian mulberry leaf extract, pepermint, licorice extract, Marchia extract, Sunflower extract, Honey, Lemon balm leaf extract, Potassium hydroxide, Cellulose gum, Ethylhexyl Glycerin, Evening primrose extract, Desert Sand Verbena leaf extract, Agave stem extract, Joshua tree root extract, Perennial flower extract, Candlewood stem extract, Creosote bush extract, Gardenia extract, Cacao extract, Trehalose, Tamarind seed polysaccharide, lecithin, Miro Tannus Plaviola leaf extract, Silica, Watercress extract, 1.2-hexanediol, Polyquaternium-51, Disodium EDTA, Phenoxyethanol, Spices",,no,mask
8,8,I'm From - Mugwort Mask - 30g,"Cruelty Free: Yes


Product Type: Wash-off Mask


Product Unit: 30g


Skin Concern: Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Water, Butylene Glycol, Glycerin, Artemisia Princeps Leaf Powder, 1,2-Hexanediol, Cordyceps Sinensis Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Methylpropanediol, Ligularia Fishceri Leaf Extract, Rosa Davurica Bud Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica Extract, Glyceryl Polyacrylate, Sodium Polyacrylaste, Carbomer, Arginine, Phenoxyethanol, Allantoin, Dipotassium Glycyrrhizate, Panthenol, Xanthan Gum, Disodium EDTA",8.49€,Vegan,mask
9,9,G9 SKIN - Milk Bubble Essence Pack - 50ml,"Product Type: Wash-off Mask


Skin Concern: Dryness/ Hydration, Whitening


Skin Type: Normal",,,no,mask
10,10,Secret Key - Snow White Milky Pack,"Product Type: Wash-off Mask


Skin Concern: Sun Damage","Water, Cyclopentasiloxan, Cyclohexasiloxan, Dimethicon, Cyclomethicon, Butylene Glycol, Cetyl PEG/PPG-10/1 Dimethicone, Niacinamide, Dimethicone/Vinyl Dimethicone Crosspolymer, IsoDodecan, Disteardimonium Hectorite, Propylene Carbonate, Titanium Dioxide, Mica, Polymethyl Methacrylate, CI 77492, CI 77499, Triethoxycaprylylsilane, Sodium Hyaluronate, Sorbitan Sesquioleate, Ceresin, Magnesium Sulfate, Methylparaben, Propylparaben, Disodium EDTA, Fragrance",,no,mask
