,Unnamed: 0,name,details,ingredients,price,best-seller,Step
0,0,Kao - Biore UV Aqua Rich Watery Essence SPF 50+ PA++++ 2019 Edition,"Usage: Day


Product Type: Essence & Serums


Product Unit: 50g


SPF: SPF 30 - 50


PA: ++++","Ethylhexyl methoxycinnamate, cross-polymer of (lauryl methacrylate / sodium methacrylate), alkyl benzoate (C12-15), bisethylhexyloxyphenol methoxyphenyl triazine, hexyl diethylaminohydroxybenzoylbenzoate, dimethicone, ethylhexyl triazone , Dimethylsilylated silica, DPG, xylitol, dextrin palmitate, (acrylates / alkyl (C10-30)) crosspolymer, (dimethicone / vinyldimethicone) crosspolymer, polysilicone-9, glyceryl stearate, AMP, Vinyl dimethicone / methicone silsesquioxane) crosspolymer, agar, isoceteth-20, alkyl (C30-45) methicone, polyvinyl alcohol, olefin (C30-45), sodium hydroxide BG, PG, hyaluronic acid Na, royal jelly, orange fruit extract, grapefruit fruit extract, lemon fruit extract, phenoxyethanol, EDTA-2Na, BHT, perfume",9.09€,Best Sellers,Sunscreen
1,3,Kao - Biore - UV Aqua Rich Watery Essence SPF50 + PA ++++ - 85g,"Usage: Day


Product Type: Essence & Serums


SPF: Above SPF 50


PA: ++++


Skin Concern: Dryness/ Hydration",,15.39€,Best Sellers,Sunscreen
2,4,Dr. Jart+ - Every Sun Day Mild Sun (SPF43 PA+++) - 50ml,"Usage: Day


Product Type: Sunscreen


SPF: SPF 30 - 50


PA: +++


Skin Type: Combination, Dry, Normal, Oily, Sensitive",,,no,Sunscreen
3,5,Rohto Mentholatum - Skin Aqua Sunscreen Super Moisture Gel Pump SPF50+PA ++++ - 140g,"Product Type: Sunscreen


SPF: Above SPF 50


PA: ++++


Skin Concern: Sun Damage


Skin Type: Combination, Dry, Normal, Oily",,10.89€,Best Sellers,Sunscreen
4,6,ROVECTIN - Skin Essentials Aqua Soothing UV Protector SPF 50+ PA++++ - 50ml,"Usage: Day, Night


Product Type: Sunscreen


Skin Concern: Sun Damage


Skin Type: Combination, Dry, Normal, Oily",,12.29€,Best Sellers,Sunscreen
5,7,MISSHA - All Around Safe Block Essence Sun Milk - 70ml (SPF50+ PA+++),"Usage: Day, Night


Product Type: Sunscreen


Product Unit: 70ml


Skin Concern: Blackheads, Dryness/ Hydration, Uneven Skin Tone


Skin Type: Combination, Dry, Normal, Oily","Water, Butylene Glycol, Alcohol Denat., Ethylhexyl Methoxycinnamate, Octocrylene, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Helichrysum Arenarium Extract, Methyl Methacrylate Crosspolymer, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Silica, Althaea Rosea Root Extract, Caprylyl Glycol, Glycerin, Nylon-12, Ethylhexylglycerin, Fragrance, Nelumbo Nucifera Flower Extract, Portulaca Oleracea Extract, Limonia Acidissima Extract, Dimethicone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, 1,2-Hexanediol, BHT, Disodium EDTA, Phenoxyethanol, Sodium Hydroxide, Rosa Davurica Bud Extract, Potassium sorbate, Pentylene Glycol, Chrysanthemum Indicum flower Extract, Camellia Japonica Flower Extract, VP/Hexadecene Copolymer, Psidium Guajava Leaf Extract, Abronia Villosa Leaf Extract, Aloe Barbadensis Leaf Extract, Cinchona Succirubra Bark Extract, Prunus Mume Flower Extract, Cyclopentasiloxane, Salvia Officinalis (Sage) Water, Calendula officinalis flower water, Pelargonium Graveolens Flower Water, Acrylates/Dimethicone Copolymer, Camellia Sinensis Leaf Extract, Rhodiola Rosea Root Extract, Morus Alba Fruit Extract, Diospyros Kaki Leaf Extract, Pueraria Lobata Root Extract, Cinnamomum Cassia Bark Extract, Artemisia princeps Leaf Extract, Methoxy PEG/PPG-25/4 Dimethicone, Bis-PEG/PPG-20/5 PEG/PPG-20/5 Dimethicone, Caprylic/Capric Triglyceride, Caprylyl Methicone, Betaine",14.89€,Best Sellers,Sunscreen
6,8,make p:rem - UV defense me. Blue ray sun cream - 70ml,"Cruelty Free: Yes


Usage: Day


Product Type: Sunscreen


SPF: Above SPF 50


PA: ++++","Water, Cyclomethicone, Zinc Oxide, Titanium Dioxide (CI 77891), Propanediol, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Dibutyl Adipate, Caprylyl Methicone, 1,2-Hexanediol, Disteardimonium Hectorite, Magnesium Sulfate, Hydrogen Dimethicone, Aluminum Hydroxide, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Polyglyceryl-2 Dipolyhydroxystearate, Stearic Acid, Fructooligosaccharides, Saccharide Hydrolysate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, thylhexylglycerin, Pullulan, Octyldodecanol, Centella Asiatica Extract, Houttuynia Cora Extract Extractal Salinal Extract, Salicylic Extract Oil, Betula Alba Juice, Dipropylene Glycol, Echium Plantagineum Seed Oil, Xylitylglucoside, Sodium Palmitoyl Proline, Anhydroxylitol, Xylitol, Nymphaea Alba Flower Extract, Butylene Glycol, Cardiospermum Halicacabum Flower / Leaf / Vine Extract,Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Glucose, Tocopherol",28.79€,Vegan,Sunscreen
7,9,OMI - Verdio UV Moisture Gel SPF 50+ PA++++ - 80g,"Usage: Day


Product Type: Sunscreen


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Oil Control/ Pores, Sun Damage


Skin Type: Combination, Dry, Normal, Oily, Sensitive",,,no,Sunscreen
8,10,MISSHA - All Around Safe Block Essence Sun - 50ml (SPF45 PA+++),"Usage: Day, Night


Product Type: Sunscreen


Product Unit: 50ml


Skin Concern: Dryness/ Hydration, Uneven Skin Tone


Skin Type: Combination, Dry, Normal, Oily",,7.39€,Best Sellers,Sunscreen
9,11,MACQUEEN - Daily Matt-Finish Suncream SPF50+ PA+++,"Usage: Day


Product Type: Sunscreen


Product Unit: 50g


SPF: Above SPF 50


PA: +++","Purified water, cyclopentasiloxane glycerin, titanium dioxide, ethylhexyl methoxycinnamate, dimethicone, PEG-10dimethicone, zinc oxide, cyclohexasiloxane, Celyt PEG/PPG-10/Dimethicone, sorbitan sesquioleate, niacinamide, Hottuynia Crodata extract, hexyl laurate, ozocerite, Dimethicone/Vinyl Dimethicone Crosspolymer, sodium chloride, stearic acid, phenoxyethanol, alumina, xantangum, CI 77492, triethoxycaprylylsilane, perfume, adenosine, 1,2-hexandiol, CI77491, Biosaccharide Gum-4, CI 77499, Salix Alba (Willow) bark extract, Castanea Crenata shell extract, sodium hyaluronate, Centella asiatica extract, greentea extract, Chamomilla Recutita flower extract, Glycyrrhiza extract, Polygonum Cuspidatum root extract, butylene glycol
Rosmarinus Officinalis leaf extract, Scurellaria Baicalensis root extract",,no,Sunscreen
