,Unnamed: 0,name,details,ingredients,price,best-seller,Step
0,0,SOME BY MI - AHA-BHA-PHA 30 Days Miracle Toner - 150ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Acne, Dryness/ Hydration, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily",,14.09€,Best Sellers,toner
1,1,COSRX - Centella Water Alcohol-Free Toner 150ml,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Product Unit: 150ml


Skin Concern: Dryness/ Hydration, Irritation/ Calming","Water, Centella Asiatica Leaf Water, Butylene Glycol , 1,2-Hexanediol, Betaine, Panthenol, Allantoin, Ethyl Hexanediol, Sodium Hyaluronate",12.39€,Best Sellers,toner
2,2,Haruharu WONDER - Black Rice Hyaluronic Toner - 150ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily","After washing the face, wet a cotton pad with the toner, apply evenly across the face and pat to fully absorb it.",11.09€,Best Sellers,toner
3,3,Pyunkang Yul - Essence Toner ,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily",,9.39€,Best Sellers,toner
4,4,Sioris - Time Is Running Out Mist,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily",,21.29€,Vegan,toner
5,5,THANK YOU FARMER - Rice Pure Essential Toner - 200ml,"Cruelty Free: Yes


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily",,11.59€,Cruelty Free,toner
6,6,Haruharu WONDER - Black Rice Hyaluronic Toner - 300ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration, Dullness / Radiance


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Water, Betaine, Glycerin, Propanediol, Oryza Sativa (Rice) Extract, Phyllostachys Pubescens Shoot Bark Extract, Aspergillus Ferment, Panax Ginseng Root Extract, Cyclodextrin, Scutellaria Baicalensis Root Extract, Hyaluronic Acid, Beta-glucan, Cellulose Gum, Xanthan Gum, Butylene Glycol, Usnea Barbata (Lichen) Extracts, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Sodium Phytate, Tamarindus Indica Seed Gum, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Glucose, 1,2-Hexanediol, Alcohol, Lavandula Angustifolia (Lavender) Oil",,no,toner
7,7,Isntree - Hyaluronic Acid Toner Plus ,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily",,9.99€,Cruelty Free,toner
8,8,COSRX - AHA/BHA Clarifying Treatment Toner 150ml,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Product Unit: 150ml


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Uneven Skin Tone","Water, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate, Glycolic Acid, Betaine Salicylate, Allantoin, Panthenol, Ethyl Hexanediol",12.49€,Cruelty Free,toner
9,9,BEAUTY OF JOSEON - Bubble Toner : Green Plum + AHA - 150ml,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Anti-aging/ Wrinkles, Dryness/ Hydration, Dullness / Radiance


Skin Type: Combination, Dry, Normal, Oily",,8.99€,Cruelty Free,toner
10,10,PURITO - Centella Unscented Toner - 200ml,"Cruelty Free: Yes


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Old Formula: 
Water, Centella Asiatica Extract, Butylene Glycol, Pentylene Glycol, Dipropylene Glycol,
1,2-Hexanediol, Trehalose, Sodium Hyaluronate, Hamamelis Virginiana (Witch Hazel) Extract,
Madecassoside, Asiaticoside, Asiatic Acid, Madecassic Acid, Panthenol,
Carbomer, Allantoin, Arginine, Portulaca Oleracea Extract, Ethylhexylglycerin, Disodium EDTA

New Formula: 
Water, Centella Asiatica Extract (strengthens skin barrier), Butylene Glycol (humectants), Pentylene Glycol (skin-conditioning agents), Dipropylene Glycol (humectants), 1,2-Hexanediol (stabilizers), Trehalose (humectants), Sodium Hyaluronate (natural moisturizing factor/ humectants), Madecassoside (strengthens skin barrier), Asiaticoside (strengthens skin barrier), Asiatic Acid (strengthens skin barrier), Madecassic Acid (strengthens skin barrier), Panthenol (strengthens skin barrier), Carbomer (viscosity increasing agents), Allantoin (skin protectants), Arginine (skin-conditioning agents), Portulaca Oleracea Extract (skin-conditioning agents), Ethylhexylglycerin (skin-conditioning agents), Disodium EDTA (stabilizers)",12.59€,Cruelty Free,toner
11,11,Isntree - Clear Skin BHA Toner - 200ml,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Product Unit: 200ml


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming, Oil Control/ Pores, Sun Damage",,8.69€,Cruelty Free,toner
12,12,FRUDIA - Avocado Relief Essence Toner - 195ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily, Sensitive",,,no,toner
13,13,Rohto Mentholatum - Hada Labo - Shirojyun Premium Whitening Lotion 170ml - Moist (Japan Version) - 170ml - Random Delivery on Packaging,"Usage: Day, Night


Skin Concern: Whitening


Skin Type: Combination, Dry, Normal, Oily","Active ingredient: Tranexamic acid (white tranexamic acid)

Other ingredients: Vitamin C Mg phosphate, vitamin E, hydrolyzed hyaluronic acid (nano hyaluronic acid), hyaluronic acid Na-2, BG, diglycerin, concentrated glycerin, PEG-8, PEG(30), POE (24), POP(24), glyceryl ether, POE(20) lauric acid sorbitan, carboxyvinyl polymer, VP/styrene copolymer emulsion, edetate, paraben",,no,toner
14,14,iUNIK - Tea Tree Relief Toner - 200ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Anti-aging/ Wrinkles, Dark Circles, Dryness/ Hydration, Whitening


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Melaleuca Alternifolia (Tea Tree) Leaf Water, Centella Asiatica Leaf Water, Butylene Glycol, Glycerin, Water, 1,2-Hexanediol, Centella Asiatica Extract, Betaine, Sodium Hyaluronate, Polyglyceryl-4 Caprate, Caprylyl Glycol, Portulaca Oleracea Extract, Brassica Oleracea Italica (Broccoli) Extract, Medicago Sativa (Alfalfa) Extract, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Triticum Vulgare (Wheat) Germ Extract, Brassica Campestris (Rapeseed) Extract, Raphanus Sativus (Radish) Seed Extract, Allantoin, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Aloe Barbadensis Leaf Powder, Ormenis Multicaulis Oil, Pentylene Glycol, Aspalathus Linearis Extract, Glycyrrhiza Glabra (Licorice) Root Extract",,no,toner
15,15,Keep Cool - Soothe Bamboo Toner,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration, Dullness / Radiance


Skin Type: Dry, Oily, Sensitive","Bambusa Vulgaris Water(85%), Glycereth-26, Glycerin, Water, 1,2-Hexanediol, Hydroxyethyl Urea, Butylene Glycol, Sodium Hyaluronate, Polyglutamic Acid, Lonicera Japonica (Honeysuckle) Flower Extract, Scutellaria Baicalensis Root Extract, Forsythia Suspensa Fruit Extract, Chamaecyparis Obtusa Leaf Extract, Thuja Orientalis Extract, Pinus Densiflora Extract, Bambusa Vulgaris Extract, Sodium Citrate, Citric Acid, Disodium EDTA",9.19€,Cruelty Free,toner
16,16,Haruharu WONDER - Black Bamboo Mist - 150ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration","Deionized Water, Glycerin, Betaine, Propanediol, 1,2-Hexanediol, Phyllostachys Nigra Leaf Extract, Phyllostachys Pubescens Shoot Bark Extract, Bambusa Vulgaris Shoot Extract, Sodium Phytate, Alcohol, Beta-glucan, Aspergillus Ferment, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Fragrance",,no,toner
17,17,SOME BY MI - AHA-BHA-PHA 30 Days Miracle Toner - 100ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Acne, Anti-aging/ Wrinkles, Blackheads, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily, Sensitive",,,no,toner
18,18,Isntree - Hyaluronic Acid Toner,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily",,16.19€,Cruelty Free,toner
19,19,TONYMOLY - Wonder Ceramide Mochi Toner - 500ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily","Water Dipropylene Glycol Glycerin Water Pentaerythrityl Tetraisostearate Glycereth-26 1,2-Hexanediol Macadamia Integrifolia Seed Oil Water Phenyl Trimethicone Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer Styrene/VP Copolymer Centella Asiatica Extract Ethylhexylglycerin Glycerin Acrylates/C10-30 Alkyl Acrylate Crosspolymer Tromethamine Disodium EDTA Aniba Rosaeodora (Rosewood) Wood Oil Citrus Limon (Lemon) Seed Oil Caprylic/Capric Triglyceride Water Allantoin Hydrogenated Lecithin Phytosteryl/Octyldodecyl Lauroyl Glutamate Panthenol Ceramide NP Sodium Hyaluronate",,no,toner
20,20,PURITO - Centella Green Level Calming Toner - 200ml,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dark Circles, Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Water,Centella Asiatica Extract,Butylene Glycol,Pentylene Glycol,Dipropylene Glycol,1,2-Hexanediol,Sodium Hyaluronate,Panthenol,Portulaca Oleracea Extract,Hamamelis Virginiana (Witch Hazel) Extract,Glycerin,Allantoin,Trehalose,Polyglyceryl-10 Laurate,Carbomer,Polyglyceryl-10 Myristate,Arginine,Ethylhexylglycerin,Disodium EDTA,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,Pelargonium Graveolens Flower Oil,Cananga Odorata Flower Oil,Rose Flower Oil",13.19€,Cruelty Free,toner
21,21,Sioris - Falling into the rose Mist - 30ml,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily","Organic Camellia Sinensis Leaf Water, Water, Pentylene Glycol, Organic Glycerin, Squalane, Organic Argania Spinosa Kernel Oil, Chamaecyparis Obtusa Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Propanediol, Organic Cannabis Sativa Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Organic Simmondsia Chinensis (Jojoba) Seed Oil, Aniba Rosodora (Rosewood) Wood Oil, Rosa Damascena Flower Wax, Rosa Damascena Flower Oil, Lithospermum Erythrorhizon Root Extract, Glyceryl Caprylate, Citric Acid",7.69€,Vegan,toner
22,22,SOME BY MI - Galactomyces Pure Vitamin C Glow Toner - 200ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Anti-aging/ Wrinkles, Dryness/ Hydration, Dullness / Radiance, Whitening


Skin Type: Combination, Dry, Normal, Oily",,,no,toner
23,23,Isntree - Aloe Soothing Toner - 200ml,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Uneven Skin Tone


Skin Type: Combination, Dry, Normal, Oily","Aloe Barbadensis Leaf Extract, Water, Methylpropanediol, Propanediol, Sodium Hyaluronate, Centella Asiatica Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Polyglutamic Acid, Allantoin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Dipotassium Glycyrrhizate, Trehalose, Panthenol, Tromethamine, Disodium EDTA, Hydroxyacetophenone",8.19€,Cruelty Free,toner
24,24,daymellow' - Aquaron Watery Toner - 300ml,"Usage: Day, Night


Product Type: Toner & Mist


Product Unit: 280ml


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily",,,no,toner
25,25,RAMOSU - AC.Ssok Solution (Fragrance-Free) - 50ml,"Usage: Day, Night


Product Type: Essence & Serums


Skin Concern: Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily, Sensitive",,,no,toner
26,26,Benton - Deep Green Tea Toner,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration, Dullness / Radiance


Skin Type: Combination, Dry, Normal, Oily",,11.89€,Vegan,toner
27,27,Haruharu WONDER - Black Bamboo Mist - 80ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Deionized Water, Glycerin, Betaine, Propanediol, 1,2-Hexanediol, Phyllostachys Nigra Leaf Extract, Phyllostachys Pubescens Shoot Bark Extract, Bambusa Vulgaris Shoot Extract, Sodium Phytate, Alcohol, Beta-glucan, Aspergillus Ferment, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Fragrance",,no,toner
28,28,TIA'M - Centella Face Calming Toner - 180ml,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Acne, Dark Circles, Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Water, Centella Asiatica (Gotu Kola) Extract (10%), Butylene Glycol, Dipropylene Glycol, Glycerin, PEG-40 Hydrogenated Castor Oil, Allantoin, Betaine, Xylitol, Dipotassium Glycyrrhizate, 1,2-Hexanediol, Caprylyl Glycol, Illicium Verum (Anise) Fruit Extract, Chlorophyllin-Copper Complex, Citric Acid, Disodium EDTA",13.09€,Cruelty Free,toner
29,29,FRUDIA - My Orchard Real Soothing Gel Mist - 125ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily",,,no,toner
30,30,FRUDIA - Blueberry Hydrating Toner - 195ml,"Usage: Day, Night


Product Type: Toner & Mist


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily","Vaccinium Angustifolium (Blueberry) Fruit Extract (88%), Butylene Glycol, Glycereth-26, 1,2-Hexanediol, Panthenol, Diethoxyethyl Succinate, Betaine, PEG-60 Hydrogenated Castor Oil, Phenoxyethanol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Disodium EDTA, Fragrance, Coco-Caprylate/Caprate, Vitis Vinifera (Grape) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Solanum Lycopersicum (Tomato) Seed Oil, Punica Granatum Seed Oil, Mangifera Indica (Mango) Seed Oil, Citrus Paradisi (Grapefruit) Seed Oil, Tocopherol",,no,toner
31,31,LANEIGE - Cream Skin Refiner - 15ml,"Usage: Day, Night


Product Type: Toner & Mist


Product Unit: 15ml


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming, Whitening",,,no,toner
