,name,details,ingredients
0,LANEIGE - Lip Sleeping Mask,"Product Type: Lip Mask


Product Unit: 20g


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Microcrystalline Wax, Shea Butter, Synthetic Wax, Candelilla Wax, Sucrose Tetrastearate Triacetate, Butylene/Ethylene/Styrene Copolymer, Ethylene/Propylene/Styrene Copolymer, Mica, Fragrance, Astrocaryum Murumuru Seed Butter, Dimethicone, Titanium Dioxide (CI 77891), Polyglyceryl-3 Diisostearate, Dehydroacetic Acid, Polyglyceryl-2 Triisostearate, Methicone, Carnauba Wax, Polyhydroxystearic Acid, Water, Potassium Alginate, Propanediol, Glycerin, Ethanol, Lycium Chinense Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Fragaria Ananassa (Strawberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Sapindus Mukorossi Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Rubus Chamaemorus Seed Extract, Coffea Arabica (Coffee) Seed Extract, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside, Silica, Lithol Rubine B, Tartrazine, Quinoline Yellow WS, Brilliant Blue FCF, Sunset Yellow FCF"
1,PURITO - Centella Green Level Eye Cream - 30ml,"Cruelty Free: Yes


Product Type: Eye Cream


Skin Concern: Anti-aging/ Wrinkles, Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Centella Asiatica Extract, Water, Hydrogenated Poly(C6-14 Olefin), Glycerin, Cetyl Ethylhexanoate, Caprylic/Capric Triglyceride, Cetyl Alcohol, 1,2-Hexanediol, Butylene Glycol, Dipropylene Glycol, Methyl Trimethicone, Pentaerythrityl Tetraisostearate, Dipentaerythrityl Hexa C5-9 Acid Esters, Potassium Cetyl Phosphate, Sodium Hyaluronate, Butyrospermum Parkii (Shea) Butter, Panthenol, Palmitoyl Dipeptide-10, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Palmitoyl Hexapeptide-12, Polyglyceryl-2 Stearate, Asiaticoside, Asiatic Acid, Madecassic Acid, Stearic Acid, Glyceryl Stearate, Stearyl Alcohol, Macadamia Ternifolia Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Argania Spinosa Kernel Oil, Caprylyl Glycol, Cetearyl Olivate, Sorbitan Olivate, Camellia Sinensis Leaf Extract, Pancratium Maritimum Extract, Acetyl Glucosamine, Ceramide NP, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, Tromethamine, Carbomer, Disodium EDTA, Lavandula Angustifolia (Lavender) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil"
2,iUNIK - Propolis Vitamin Eye Cream - 30ml,"Skin Concern: Anti-aging/ Wrinkles, Dark Circles, Dullness / Radiance, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily",[]
3,Benton - Fermentation Eye Cream,"Cruelty Free: Yes


Product Type: Eye Cream


Product Unit: 30g


Skin Concern: Anti-aging/ Wrinkles, Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Galactomyces Ferment Filtrate, Aqua (Water), Butylene Glycol, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Cetyl Ethylhexanoate, Pentylene Glycol, Macadamia Integrifolia Seed Oil, Cetearyl Olivate, Bifida Ferment Lysate, Ceramide NP, Althaea Rosea Root Extract, Aloe Barbadensis Leaf Extract, Sorbitan Olivate, Sorbitan Stearate, Sodium Hyaluronate, Allantoin, Betaine, Beta-Glucan, Panthenol, sh-Oligopeptide-1, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine,1,2-Hexanediol, Pulsatilla Koreana Extract,Zanthoxylum Piperitum Fruit Extract, Usnea Barbata (Lichen) Extract, Hydrogenated Lecithin, Adenosine, Polysorbate 20, Lecithin"
4,Etude House - My Lash Serum,"Product Type: Eyelash Essence


Skin Type: Combination, Dry, Normal, Oily","Water, Butylene Glycol, Alcohol, Glycerin, Aloe Barbadensis Leaf Extract, Panax Ginseng Root Extract, Phenoxyethanol, Carbomer, Tromethamine, Symphytum Officinale Leaf Extract, Peg-32, Peg-6, Disodium Edta, Benzophenone-5, Swertia Japonica Extract, Sodium Hyaluronate, Methylparaben, Propylparaben, Yellow 5 (Ci 19140), Ethylparaben, Red 33 (Ci 17200), Isobutylparaben, Butylparaben"
5,PETITFEE - Black Pearl & Gold Hydrogel Eye Patch - 60pcs,"Product Type: Eye Mask


Product Unit: 60pc


Skin Concern: Anti-aging/ Wrinkles, Dark Circles, Sun Damage


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Calcium Chloride, Butylene Glycol, Ceratonia Siliqua (Carob) Gum, Xanthan Gum, Chondrus Crispus (Carrageenan), Ethyl Hexanediol, Citrus Grandis (Grapefruit) Seed Extract, Bambusa Textilis Stem Extract, Pinus Palustris Leaf Extract, PEG-60 Hydrogenated Castor Oil, Scutellaria Baicalensis (Baikal Skullcap) Root Extract, Camellia Sinensis (Green Tea) Leaf Extract, Houttuynia Cordata Extract, Artemisia Vulgaris (Mugwort) Extract, Citrus Junos Fruit Extract, 1,2-Hexanediol, Caprylyl Glycol, Phenoxyethanol, Methylparaben, Chlorphenesin, Fragrance, Synthetic Fluorphlogopite, Titanium Dioxide (CI 77891), Red Iron Oxide (CI 77491), Peat Water, Alcohol, Sodium Hyaluronate, Cucumis Sativus (Cucumber) Extract, Rosa Centifolia (Cabbage Rose) Flower Water, Chamaecyparis Obtusa Water, Aloe Barbadensis (Aloe Vera) Leaf Extract, Gold (CI 77480), Pearl Extract, Betaine, Allantoin, Disodium EDTA, Mineral Oil"
6,primera - Natural Berry Lip Mask - 17g,"Product Type: Lip Mask


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily","Diisostearyl Malate, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Polybutene, Hydrogenatedpolyisobutene, Synthetic Wax, Vp/Hexadecene Copolymer, Euphorbia Cerifera (Candelilla) Wax / Candelilla Cerahydrocarbons / Cire De Candelilla, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Squalane,Butyrospermum Parkii (Shea) Butter, Polyethylene, Copernicia Cerifera (Carnauba) Wax / Copernicia Cerifera Cera / Cirede Carnauba,Sucrose Tetrastearate Triacetate, Oryza Sativa (Rice) Bran Wax, Hippophae Rhamnoides Fruit Extract, Hemerocallisfulva Flower Extract, Candelilla Wax Esters, Ethylene/Propylene/Styrene Copolymer, Fragrance / Parfum, Astrocaryum Murumuru Seed Butter, Butylene/Ethylene/Styrene Copolymer, Dextrin Palmitate/Ethylhexanoate,Tocopheryl Acetate, Water, Glycerin, Citric Acid, Vaccinium Myrtillus Bud Extract, Sequoiadendrongigantea Bud Extract, Prunus Persica (Peach) Bud Extract."
7,PUREDERM - Vegan Under Eye Mask - 30sheets/pouch,"Product Type: Eye Mask


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily","Ingredients Water(Aqua), Glycerin, Soluble Collagen, Aloe Barbadensis Leaf Extract, Centella Asiatica Extract, Allantoin, Arbutin, Panthenol, Ascorbic Acid, Hydroxyethylcellulose, Tocopheryl Acetate, PEG•60 Hydrogenated Castor Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Disodium EDTA, Hydroxyacetophenone, 1,2-Hexanediol"
8,KLAVUU - Nourishing Care Lip Sleeping Pack,"Product Type: Lip Mask


Product Unit: 20g


Skin Concern: Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive",[]
9,Isntree - TW-Real Eye Cream - 30ml,"Cruelty Free: Yes


Product Type: Eye Cream


Product Unit: 30ml


Skin Concern: Anti-aging/ Wrinkles, Dryness/ Hydration, Dullness / Radiance, Sun Damage


Skin Type: Combination, Dry, Normal, Oily","Water, Butylene Glycol, Dipropylene Glycol, Glycerin, Cyclopentasiloxane, Squalane, Hydrogenated Polydecene, Pentaerythrityl Tetraethylhexanoate, Niacinamide, Dimethicone, Bifida Ferment Lysate, Arachidyl Alcohol, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter, C12-16 Alcohols, Polyglyceryl-2-Stearate, Dimethicone/Vinyl Dimethicone Crosspolymer , Behenyl Alcohol , 1, 2-Hexanediol , Polysorbate 60 , Erythritol , Glyceryl Stearate , Hydrogenated Lecithin , Stearyl Alcohol , Arachidyl Glucoside , Palmitic Acid , Tromethamine , Carbomer , Allantoin , Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer , Mangifera Indica (Mango) Seed Butter , Illicium Verum (Anise) Fruit Extract , Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer , Daucus Carota Sativa (Carrot) Root Extract , Isohexadecane , Persea Gratissima (Avocado) Oil , Scutellaria Baicalensis Root Extract , Hydroxyethylcellulose , Adenosine , polysorbate 80 , Disodium EDTA , Hydrogenated Vegetable Oil , Ceramide NP , 3-0-Ethyl Ascorbic Acid , Sorbitan Oleate , Pentylene Glycol , Glucose , Caprylic/Capric Triglyceride, Phenoxyethanol, Caprylyl Glycol , Lecithin, Deoxyphytantriyl Palmitamide MEA , Sodium Phosphate , Tocopherol , Sodium Oleate, Polysorbate 20, Ethylhexylglycerin, Cholesterol , Phosphatidylcholine, Acetyl Hexapeptide-8, Astaxanthin, sh-Polypeptide-1, sh-Oligopeptide-2, sh-Oligopeptide-1"
10,PETITFEE - Hydrogel Eye Mask - 60pcs,"Product Type: Eye Mask


Product Unit: 60pc


Skin Concern: Dark Circles, Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily",[]
11,Secret Key -Marine Racoony Hydrogel Eye & Multi Patch,"Product Type: Eye Patch


Skin Concern: Dark Circles, Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily",[]
12,COSRX - Advanced Snail Peptide Eye Cream - 25ml,"Cruelty Free: Yes


Product Type: Eye Cream


Skin Concern: Dark Circles, Dullness / Radiance


Skin Type: Combination, Dry, Normal, Oily","Snail Secretion Filtrate, Butylene Glycol, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, 1,2-Hexanediol, Niacinamide, Water, Palmitic Acid, Arginine, Carbomer, Stearic Acid, Betaine, Cetearyl Olivate,
Sorbitan Olivate, Sodium Polyacrylate, Allantoin, Tocopheryl Acetate, Panthenol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hyaluronate, Adenosine, Xanthan Gum,
Myristic Acid, Copper Tripeptide-1, Acetyl Hexapeptide-8, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7"
13,MILKYDRESS - Wrinkle & Whitening Eye Cream,"Product Type: Eye Cream


Product Unit: 15ml


Skin Concern: Anti-aging/ Wrinkles, Dryness/ Hydration, Whitening


Skin Type: Combination, Dry, Normal, Oily","Water, Butylene Glycol, Glycereth-26, Glycerin, Sodium Hyaluronate, Grapeseed Oil, Avocado Oil, Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Octyldodeceth-5, Viscum Album (Mistletoe) Extract, Rhodiola Rosea Root Extract, Rose Damascena Flower Extract, Bis-PEG-18 Methyl Ether Dimethyl Silane, Panthenol, Arctostaphylos Uva-Ursi Leaf Extract, Physalis Alkekengi Fruit Extract, Tocopheryl Acetate, Hydrolyzed Pea Protein, Lecithin, Olive Oil, Squalane, Phytosterol, Ceramide 3, Shea Butter, Caprylyl Glycol, Ethylhexylglycerin,Tropolone, Panax Ginseng Root Extract, Camellia Sinensis Leaf Extract, Ginkgo Biloba Extract, Mulberry Root Extract, Allantoin, Adenosine, Disodium EDTA, Aloe Barbadensis Leaf Juice, Fragrance"
14,JAYJUN - Green Tea Eye Gel Patch,"Product Type: Eye Patch


Product Unit: 30pair


Skin Concern: Anti-aging/ Wrinkles, Dark Circles, Sun Damage


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Water, Glycerin, Butylene Glycol, Niacinamide, Chondrus Crispus (Carrageenan), Potassium Chloride, Tripropylene Glycol, Dipropylene Glycol, Betaine, Sodium Hyaluronate, Paeonia Lactiflora Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Polygonum Multiflorum Root Extract, Phellinus Linteus Extract, Morus Alba Bark Extract, Sophora Angustifolia Root Extract, Cimicifuga Racemosa Root Extract, Sesamum Indicum (Sesame) Seed Extract, Scutellaria Baicalensis Root Extract, Angelica Gigas Root Extract, Pentylene Glycol, Cocos Nucifera (Coconut) Fruit Extract, Pinus Sylvestris Leaf Extract, Camellia Sinensis (Green Tea) Leaf Powder(0.2%), Saururus Chinensis Extract, Ceratonia Siliqua Gum, Sucrose, Isopropyl Alcohol, Calcium Chloride, Cyamopsis Tetragonoloba (Guar) Gum, Cellulose Gum, Chondrus Crispus Powder, Allantoin, Adenosine, Disodium EDTA, Calcium Lactate, Ethyl Hexanediol, 1,2-Hexanediol, Propanediol, Caprylyl Glycol, Ethylhexylglycerin, CI 77288, Polyglyceryl-10 Laurate, Fragrance, Chlorphenesin"
15,PETITFEE - Hydrogel Eye Patch - 1pack (60pcs) #Collagen & Co Q10,"Product Type: Eye Patch


Skin Concern: Anti-aging/ Wrinkles, Dark Circles, Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive",[]
16,SWANICOCO - Fermentation Peptine Eye Care Cream - 45ml,"Product Type: Eye Cream


Product Unit: 45ml


Skin Concern: Anti-aging/ Wrinkles, Dark Circles, Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive",[]
17,PETITFEE - Gold & Snail Hydrogel Eye Patch - 60pcs,"Product Type: Eye Patch


Skin Concern: Anti-aging/ Wrinkles, Dark Circles, Dullness / Radiance


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Calcium Chloride, Butylene Glycol, Ceratonia Siliqua Gum, Xanthan Gum, Carrageenan, Snail Secretion Filtrate, PEG-60 Hydrogenated Castor Oil, Ethanol, Synthetic Fluorphlogopite, CI 77861, CI 77491, CI 77891, CI 77480, Disodium EDTA, Triethanolamine, Scutellaria Baicalensis Root Extract, Camellia Sinensis Leaf Extract, Houttuynia Cordata Extract, Artemisia Princeps Extract, Citrus Junos Fruit Extract, 1,2-Hexanediol, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Methylparaben, Fragrance"
