,name,details,ingredients
0,Kao - Biore UV Aqua Rich Watery Essence SPF 50+ PA++++ 2019 Edition,"Usage: Day


Product Type: Essence & Serums


Product Unit: 50g


SPF: SPF 30 - 50


PA: ++++","Ethylhexyl methoxycinnamate, cross-polymer of (lauryl methacrylate / sodium methacrylate), alkyl benzoate (C12-15), bisethylhexyloxyphenol methoxyphenyl triazine, hexyl diethylaminohydroxybenzoylbenzoate, dimethicone, ethylhexyl triazone , Dimethylsilylated silica, DPG, xylitol, dextrin palmitate, (acrylates / alkyl (C10-30)) crosspolymer, (dimethicone / vinyldimethicone) crosspolymer, polysilicone-9, glyceryl stearate, AMP, Vinyl dimethicone / methicone silsesquioxane) crosspolymer, agar, isoceteth-20, alkyl (C30-45) methicone, polyvinyl alcohol, olefin (C30-45), sodium hydroxide BG, PG, hyaluronic acid Na, royal jelly, orange fruit extract, grapefruit fruit extract, lemon fruit extract, phenoxyethanol, EDTA-2Na, BHT, perfume"
1,Isntree - Hyaluronic Acid Watery Sun Gel - 50ml,"Cruelty Free: Yes


Usage: Day, Night


Product Type: Sunscreen


Skin Type: Combination, Dry, Normal, Oily",[]
2,make p:rem - UV defense me. Blue ray sun fluid - 200ml,"Cruelty Free: Yes


Usage: Day


Product Type: Sunscreen


SPF: Above SPF 50


PA: ++++","Water, Cyclomethicone, Zinc Oxide, Titanium Dioxide (CI 77891), Propanediol, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Dicaprylyl Carbonate, Cetyl Ethylhexanoate, 1,2-Hexanediol, Disteardimonium Hectorite, Glycerin, Betula Alba Juice, Panthenol, Centella Asiatica Extract, Madecassoside, Marrubium Vulgare Extract, Nymphaea Alba Flower Extract, Gossypium Herbaceum (Cotton) Seed Extract, Rubus Idaeus (Raspberry) Fruit Extract, Salvia Hispanica Seed Extract, Houttuynia Cordata Extract, Sodium Hyaluronate, Magnesium Sulfate, Hydrogen Dimethicone, Aluminum Hydroxide, Polyglyceryl-2 Dipolyhydroxystearate, Stearic Acid, Dimethicone Crosspolymer, Phenyl Trimethicone, Prunus Amygdalus Amara (Bitter Almond) Kernel Oil, Camellia Sinensis Leaf Extract, Pyrus Malus (Apple) Leaf Extract, Ethylhexylglycerin, Octyldodecanol, Jasminum Officinale (Jasmine) Flower Extract, Vanilla Planifolia Fruit Extract, Dipropylene Glycol, Echium Plantagineum Seed Oil, Xylitylglucoside, Sodium Palmitoyl Proline, Anhydroxylitol, Butylene Glycol, Xylitol, Fructooligosaccharides, Saccharide Hydrolysate, Pullulan, Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Glucose, Pentylene Glycol, Citric Acid, Sorbitan Sesquioleate, Tocopherol"
3,Kao - Biore - UV Aqua Rich Watery Essence SPF50 + PA ++++ - 85g,"Usage: Day


Product Type: Essence & Serums


SPF: Above SPF 50


PA: ++++


Skin Concern: Dryness/ Hydration",[]
4,Dr. Jart+ - Every Sun Day Mild Sun (SPF43 PA+++) - 50ml,"Usage: Day


Product Type: Sunscreen


SPF: SPF 30 - 50


PA: +++


Skin Type: Combination, Dry, Normal, Oily, Sensitive",[]
5,Rohto Mentholatum - Skin Aqua Sunscreen Super Moisture Gel Pump SPF50+PA ++++ - 140g,"Product Type: Sunscreen


SPF: Above SPF 50


PA: ++++


Skin Concern: Sun Damage


Skin Type: Combination, Dry, Normal, Oily",[]
6,ROVECTIN - Skin Essentials Aqua Soothing UV Protector SPF 50+ PA++++ - 50ml,"Usage: Day, Night


Product Type: Sunscreen


Skin Concern: Sun Damage


Skin Type: Combination, Dry, Normal, Oily",[]
7,MISSHA - All Around Safe Block Essence Sun Milk - 70ml (SPF50+ PA+++),"Usage: Day, Night


Product Type: Sunscreen


Product Unit: 70ml


Skin Concern: Blackheads, Dryness/ Hydration, Uneven Skin Tone


Skin Type: Combination, Dry, Normal, Oily","Water, Butylene Glycol, Alcohol Denat., Ethylhexyl Methoxycinnamate, Octocrylene, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Helichrysum Arenarium Extract, Methyl Methacrylate Crosspolymer, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Silica, Althaea Rosea Root Extract, Caprylyl Glycol, Glycerin, Nylon-12, Ethylhexylglycerin, Fragrance, Nelumbo Nucifera Flower Extract, Portulaca Oleracea Extract, Limonia Acidissima Extract, Dimethicone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, 1,2-Hexanediol, BHT, Disodium EDTA, Phenoxyethanol, Sodium Hydroxide, Rosa Davurica Bud Extract, Potassium sorbate, Pentylene Glycol, Chrysanthemum Indicum flower Extract, Camellia Japonica Flower Extract, VP/Hexadecene Copolymer, Psidium Guajava Leaf Extract, Abronia Villosa Leaf Extract, Aloe Barbadensis Leaf Extract, Cinchona Succirubra Bark Extract, Prunus Mume Flower Extract, Cyclopentasiloxane, Salvia Officinalis (Sage) Water, Calendula officinalis flower water, Pelargonium Graveolens Flower Water, Acrylates/Dimethicone Copolymer, Camellia Sinensis Leaf Extract, Rhodiola Rosea Root Extract, Morus Alba Fruit Extract, Diospyros Kaki Leaf Extract, Pueraria Lobata Root Extract, Cinnamomum Cassia Bark Extract, Artemisia princeps Leaf Extract, Methoxy PEG/PPG-25/4 Dimethicone, Bis-PEG/PPG-20/5 PEG/PPG-20/5 Dimethicone, Caprylic/Capric Triglyceride, Caprylyl Methicone, Betaine"
8,make p:rem - UV defense me. Blue ray sun cream - 70ml,"Cruelty Free: Yes


Usage: Day


Product Type: Sunscreen


SPF: Above SPF 50


PA: ++++","Water, Cyclomethicone, Zinc Oxide, Titanium Dioxide (CI 77891), Propanediol, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Dibutyl Adipate, Caprylyl Methicone, 1,2-Hexanediol, Disteardimonium Hectorite, Magnesium Sulfate, Hydrogen Dimethicone, Aluminum Hydroxide, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Polyglyceryl-2 Dipolyhydroxystearate, Stearic Acid, Fructooligosaccharides, Saccharide Hydrolysate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, thylhexylglycerin, Pullulan, Octyldodecanol, Centella Asiatica Extract, Houttuynia Cora Extract Extractal Salinal Extract, Salicylic Extract Oil, Betula Alba Juice, Dipropylene Glycol, Echium Plantagineum Seed Oil, Xylitylglucoside, Sodium Palmitoyl Proline, Anhydroxylitol, Xylitol, Nymphaea Alba Flower Extract, Butylene Glycol, Cardiospermum Halicacabum Flower / Leaf / Vine Extract,Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Glucose, Tocopherol"
9,OMI - Verdio UV Moisture Gel SPF 50+ PA++++ - 80g,"Usage: Day


Product Type: Sunscreen


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Oil Control/ Pores, Sun Damage


Skin Type: Combination, Dry, Normal, Oily, Sensitive",[]
