,name,details,ingredients,price,best-seller
0,Krave - Kale Lalu Yaha -200ml,no info,no info,no info,no
1,BEAUTY OF JOSEON - Apricot Peeling Gel - 120ml,"Cruelty Free: Yes


Product Unit: 120ml


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Anti-aging/ Wrinkles, Dullness / Radiance, Irritation/ Calming, Oil Control/ Pores",[],4.79€,Cruelty Free
2,Isntree - Clear Skin AB Peeling Pads - 1pack (70pcs),"Cruelty Free: Yes


Product Unit: 70pc


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming",[],11.69€,Cruelty Free
3,iUNIK - Lime Moisture Mild Peeling Gel - 120g,no info,no info,no info,no
4,G9 SKIN - Grapefruit Vita Peeling Gel,no info,no info,no info,no
5,Secret Key -Lemon Sparkling Peeling Gel,no info,no info,no info,no
6,THANK YOU FARMER - Back To Iceland Peeling Cream,"Cruelty Free: Yes


Exfoliator Type: Physical


Skin Type: Combination, Dry, Normal, Oily",[],5.79€,Cruelty Free
7,The ORCHID Skin - Orchid Flower Apple Soft Peeling Gel - 120ml,"Cruelty Free: Yes


Exfoliator Type: Physical


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming, Whitening","1 Water,2 Cellulose,3 Dipropylene Glycol,4 Butylene Glycol,5 1,2-Hexanediol,6 PEG-60 Hydrogenated Castor Oil,7 Tromethamine,8 Carbomer,9 Chlorphenesin,10 Acrylates/C10-30 Alkyl Acrylate Crosspolymer,11 Fragrance,12 Disodium EDTA,13 Polyquaternium-51,14 Panthenol,15 Aloe Barbadensis Leaf Extract,16 Gluconolactone,17 Oryza Sativa (Rice) Hull Powder,18 Pyrus Malus (Apple) Fruit Extract,19 Albumen Extract,20 Adansonia Digitata Seed Extract,21 Camellia Sinensis Leaf Extract,22 Centella Asiatica Extract,23 Hamamelis Virginiana (Witch Hazel) Leaf Extract,24 Mentha Piperita (Peppermint) Leaf Extract,25 Vanilla Planifolia Fruit Extract,26 Ethylhexylglycerin,27 Phenoxvethanol",8.49€,Cruelty Free
8,make p:rem - Rice Biome Bubble Peeling - 190ml,"Cruelty Free: Yes


Skin Type: Combination, Dry, Normal, Oily, Sensitive


Skin Concern: Dullness / Radiance, Oil Control/ Pores",[],14.09€,Vegan
9,9wishes - Rice Powder Polish - 5g*1ea,no info,no info,no info,no
10,9wishes - Rice Powder Polish - 100ml,no info,no info,no info,no
11,Faith in Face - AHA peel so good peeling gel -125g,no info,no info,no info,no
12,Ciracle - Skin Renewal Home Peeling Pads -70ml+35pcs,no info,no info,no info,no
13,Farm Stay - Collagen Water Full Moist Peeling Gel,no info,no info,no info,no
14,SWANICOCO - Black Sugar Gommage Peeling Gel - 100ml,no info,no info,no info,no
15,TOSOWOONG - Black Sugar Facial Scrub,"Cruelty Free: Yes


Exfoliator Type: Physical


Product Unit: 100ml


Skin Type: Combination, Dry, Normal, Oily, Sensitive


Skin Concern: Acne, Sun Damage, Uneven Skin Tone",[],9.89€,Cruelty Free
16,BONAJOUR - Green Tea AHA Peeling Gel - 150ml,no info,no info,no info,no
17,Secret Key - Lemon Sparkling Peeling Pad,no info,no info,no info,no
18,Sioris - My Soft Grain Scrub - 45g,"Cruelty Free: Yes


Product Unit: 45g


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dullness / Radiance",[],17.39€,Vegan
19,Farm Stay - Dr-V8 Vitamin Brightening Peeling Gel -150ml,no info,no info,no info,no
20,Ciracle - Pore Control Daily Wash Peeling Gel -100ml,no info,no info,no info,no
21,RiRe - All Kill Refresh Peeling Gel,no info,no info,no info,no
22,TIA'M - Berry Very Soft Peeling Gel - 120g,"Cruelty Free: Yes


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dryness/ Hydration, Uneven Skin Tone","Water,Cellulose,Dipropylene Glycol,Alcohol,Vaccinium Angustifolium (Blueberry) Fruit Extract,Rubus Fruticosus (Blackberry) Fruit Extract,Euterpe Oleracea Fruit Extract,Rubus Idaeus (Raspberry) Fruit Extract,Fragaria Chiloensis (Strawberry) Fruit Extract,Vaccinium Myrtillus Fruit Extract,Vaccinium Macrocarpon (Cranberry) Fruit Extract,Aronia Melanocarpa Fruit Extract,Camellia Sinensis Leaf Extract,Sodium Hyaluronate,Hydrolyzed Collagen,Butylene Glycol,Allantoin,Glycerin,Carbomer,Tromethamine,Citric Acid,Methylpropanediol,Laurylpyridinium Chloride,Disodium EDTA,1,2-Hexanediol",19.89€,Cruelty Free
23,PESTLO - Spicule Re-born Peeling Mask - 120g,"Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Oil Control/ Pores",[],35.89€,New Arrival
24,Hanskin - Bio Prism Brightening Gommage Peeling Gel - 100ml,"Cruelty Free: Yes


Product Unit: 100ml


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dryness/ Hydration, Dullness / Radiance",[],28.69€,Cruelty Free
25,Haruharu WONDER - Black Rice Soft Peeling Gel - 100ml,no info,no info,no info,no
26,Farm Stay - All In One Whitening Peeling Gel,no info,no info,no info,no
27,SCINIC - Face Peelter Crystal Peeling - 80ml,no info,no info,no info,no
28,SOME BY MI - Yuja Niacin Brightening Peeling Gel - 120ml,no info,no info,no info,no
29,MILKYDRESS - Oasis Peeling Gel - 100ml,no info,no info,no info,no
30,MISSHA - Super Aqua Ultra Hyalron Peeling Gel,no info,no info,no info,no
31,NEOGEN Dermalogy - Lemon Bright PHA Gauze Peeling - 190ml / 30ea,"Cruelty Free: Yes


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Anti-aging/ Wrinkles, Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming",[],20.39€,Cruelty Free
32,NEOGEN Dermalogy - Wine Lift PHA Gauze Peeling - 190ml / 30ea,"Cruelty Free: Yes


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Anti-aging/ Wrinkles, Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming",[],20.39€,Cruelty Free
33,HolikaHolika - Smooth Egg Skin Peeling Gel,no info,no info,no info,no
34,Sidmool - Green Tea Pureskin Peeling Gel - 120ml,"Cruelty Free: Yes


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dullness / Radiance, Oil Control/ Pores",[],9.99€,Cruelty Free
35,Cure - Natural Aqua Gel,no info,no info,no info,no
36,Benton (EU) - PHA Peeling Gel (For EU Market) - 70ml,"Cruelty Free: Yes


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming, Uneven Skin Tone",[],8.69€,Vegan
