,name,details,ingredients,price,best-seller
0,Canmake - Mermaid Skin Gel UV SPF 50+ PA++++ - 01 Clear,"Cruelty Free: Yes


Product Type: Sunscreen


Product Unit: 40g


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Water, Ethylhexyl Methoxycinnamate (Aka Octinoxate), Butylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate (Aka Uvinal A Plus), Zinc Oxide, Methylheptyl Ester Of Lauric Acid, Titanium Dioxide, Dimethicone, Bis Ethylhexyloxyphenol Methoxyphenyl Triazine (Aka Tinosorb S), Polymethylsilsesquioxane, Cyclopentasiloxane, Sodium Hydroxyethyl Acrylate / Acryloyldimethyl Taurate Copolymer Diisostearyl Malate, Hydroxide Al, Peg-60 Hydrogenated Castor Oil, Stearic Acid, Phenoxyethanol, Polyglyceryl-3 Polydimethylsiloxiethyl Dimethicone, Polyhydroxystearyl Acid, Jojoba Ester, Xanthan Gum, Arginine, Hyaluronic Acid, Alpha-Glucan, Phytic Acid, Saxifraga Sarmentosa Extract, Glucosylceramide, Cherry Leaf Extract, Job’s Tears Seed Extract, Morus Alba Root Extract, Onethera Biennis Seed Extract, Silver Oxide, Queen Of The Meadow Flower Extract, Bilberry Leaf Extract, Artichoke Leaf Extract",10.79€,Best Sellers
1,Kao - Biore UV Aqua Rich Watery Essence SPF 50+ PA++++ 2019 Edition,"Usage: Day


Product Type: Essence & Serums


Product Unit: 50g


SPF: SPF 30 - 50


PA: ++++","Ethylhexyl methoxycinnamate, cross-polymer of (lauryl methacrylate / sodium methacrylate), alkyl benzoate (C12-15), bisethylhexyloxyphenol methoxyphenyl triazine, hexyl diethylaminohydroxybenzoylbenzoate, dimethicone, ethylhexyl triazone , Dimethylsilylated silica, DPG, xylitol, dextrin palmitate, (acrylates / alkyl (C10-30)) crosspolymer, (dimethicone / vinyldimethicone) crosspolymer, polysilicone-9, glyceryl stearate, AMP, Vinyl dimethicone / methicone silsesquioxane) crosspolymer, agar, isoceteth-20, alkyl (C30-45) methicone, polyvinyl alcohol, olefin (C30-45), sodium hydroxide BG, PG, hyaluronic acid Na, royal jelly, orange fruit extract, grapefruit fruit extract, lemon fruit extract, phenoxyethanol, EDTA-2Na, BHT, perfume",9.09€,Best Sellers
2,COSRX - Aloe Soothing Sun Cream,"Cruelty Free: Yes


Usage: Day


Product Type: Sunscreen


SPF: SPF 30 - 50


PA: +++","Water, Ethylhexyl Methoxycinnamate, Glycerin, Propylene Glycol, Cyclopentasiloxane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Phenylbenzimidazole Sulfonic Acid, Dicaprylyl Carbonate, Isoamyl P-Methoxycinnamate, Potassium Cetyl Phosphate, Alcohol,Dimethicone, Glyceryl Stearate, Butylene Glycol, Titanium Dioxide, C14-22 Alcohols, Polymethyl Methacrylate, Cetearyl Alcohol, Aloe Arborescens Leaf Extract, Dipotassium Glycyrrhizate, Tocopheryl Acetate, Peg-100 Stearate, Silica, C12-20 Alkyl Glucoside, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Stearic Acid, Caprylyl Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Xanthan Gum, Triethanolamine Sodium Hydroxide, Fragrance, Phenoxyethanol, Disodium Edta",10.19€,Best Sellers
3,Rohto Mentholatum - Skin Aqua Sunscreen Super Moisture Gel Pump SPF50+PA ++++ - 140g,"Product Type: Sunscreen


SPF: Above SPF 50


PA: ++++


Skin Concern: Sun Damage


Skin Type: Combination, Dry, Normal, Oily",[],10.89€,Best Sellers
4,ROVECTIN - Skin Essentials Aqua Soothing UV Protector SPF 50+ PA++++ - 50ml,"Usage: Day, Night


Product Type: Sunscreen


Skin Concern: Sun Damage


Skin Type: Combination, Dry, Normal, Oily",[],12.29€,Best Sellers
5,Kao - Biore - UV Aqua Rich Watery Essence SPF50 + PA ++++ - 85g,"Usage: Day


Product Type: Essence & Serums


SPF: Above SPF 50


PA: ++++


Skin Concern: Dryness/ Hydration",[],15.39€,Best Sellers
6,Rohto Mentholatum - Skin Aqua Super Moisture Essence Sunscreen SPF50+/PA++++ - 80g,no info,no info,no info,no
7,MISSHA - All Around Safe Block Essence Sun Milk - 70ml (SPF50+ PA+++),"Usage: Day, Night


Product Type: Sunscreen


Product Unit: 70ml


Skin Concern: Blackheads, Dryness/ Hydration, Uneven Skin Tone


Skin Type: Combination, Dry, Normal, Oily","Water, Butylene Glycol, Alcohol Denat., Ethylhexyl Methoxycinnamate, Octocrylene, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Helichrysum Arenarium Extract, Methyl Methacrylate Crosspolymer, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Silica, Althaea Rosea Root Extract, Caprylyl Glycol, Glycerin, Nylon-12, Ethylhexylglycerin, Fragrance, Nelumbo Nucifera Flower Extract, Portulaca Oleracea Extract, Limonia Acidissima Extract, Dimethicone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, 1,2-Hexanediol, BHT, Disodium EDTA, Phenoxyethanol, Sodium Hydroxide, Rosa Davurica Bud Extract, Potassium sorbate, Pentylene Glycol, Chrysanthemum Indicum flower Extract, Camellia Japonica Flower Extract, VP/Hexadecene Copolymer, Psidium Guajava Leaf Extract, Abronia Villosa Leaf Extract, Aloe Barbadensis Leaf Extract, Cinchona Succirubra Bark Extract, Prunus Mume Flower Extract, Cyclopentasiloxane, Salvia Officinalis (Sage) Water, Calendula officinalis flower water, Pelargonium Graveolens Flower Water, Acrylates/Dimethicone Copolymer, Camellia Sinensis Leaf Extract, Rhodiola Rosea Root Extract, Morus Alba Fruit Extract, Diospyros Kaki Leaf Extract, Pueraria Lobata Root Extract, Cinnamomum Cassia Bark Extract, Artemisia princeps Leaf Extract, Methoxy PEG/PPG-25/4 Dimethicone, Bis-PEG/PPG-20/5 PEG/PPG-20/5 Dimethicone, Caprylic/Capric Triglyceride, Caprylyl Methicone, Betaine",14.89€,Best Sellers
8,Kao - Biore - UV Aqua Rich Watery Gel SPF50 + PA ++++ - 155ml,no info,no info,no info,no
9,MISSHA - All Around Safe Block Essence Sun - 50ml (SPF45 PA+++),"Usage: Day, Night


Product Type: Sunscreen


Product Unit: 50ml


Skin Concern: Dryness/ Hydration, Uneven Skin Tone


Skin Type: Combination, Dry, Normal, Oily",[],7.39€,Best Sellers
