,name,details,ingredients
0,Krave - Kale Lalu Yaha - 200ml,"Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Acne, Anti-aging/ Wrinkles",[]
1,BEAUTY OF JOSEON - Apricot Peeling Gel - 120ml,"Cruelty Free: Yes


Product Unit: 120ml


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Anti-aging/ Wrinkles, Dullness / Radiance, Irritation/ Calming, Oil Control/ Pores",[]
2,iUNIK - Lime Moisture Mild Peeling Gel - 120g,"Exfoliator Type: Chemical


Skin Type: Combination, Dry, Normal, Oily, Sensitive


Skin Concern: Dryness/ Hydration, Whitening","Water, Glycerin, Steartrimonium Methosulfate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, 1,2-Hexanediol, Citrus Aurantifolia (Lime) Fruit Extract, Vitis Vinifera (Grape) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Caprylyl Glycol,Allantoin, Hydrolyzed Collagen, Polyglyceryl-4 Caprate, Centella Asiatica Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita(Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Lavandula Angustifolia (Lavender) Oil, Pentylene Glycol ,Aspalathus Linearis Extract"
3,SOME BY MI - Yuja Niacin Brightening Peeling Gel - 120ml,"Skin Type: Combination, Dry, Normal, Oily, Sensitive


Skin Concern: Blackheads, Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming, Oil Control/ Pores",[]
4,Sioris - My Soft Grain Scrub - 45g,"Cruelty Free: Yes


Product Unit: 45g


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dullness / Radiance",[]
5,Isntree - Clear Skin AB Peeling Pads - 1pack (70pcs),"Cruelty Free: Yes


Product Unit: 70pc


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Irritation/ Calming",[]
6,PUREDERM - Pyramid Shaped Black Sugar Facial Scrub - Cacao - 20g,"Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Blackheads, Oil Control/ Pores","Propylene Glycol, Sucrose, Glycerin, Honey Extract, Prunus Armeniaca (Apricot) Kernel Oil, Olea Europaea (Olive) Fruit Oil, Citrus Limon (Lemon) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Vaccinium Myrtillus Fruit/Leaf Extract, Saccharum Officinarum (Sugarcane) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Trehalose, Betaine, Theobroma Cacao (Cocoa) Extract, Dextrin, Charcoal Powder, Carbomer, Triethanolamine, Chlorphenesin, Fragrance(Parfum), Coumarin"
7,SKINFOOD - Black Sugar Perfect Scrub Foam - 180g,"Cruelty Free: Yes


Product Unit: 180g


Skin Type: Combination, Dry, Normal, Oily


Skin Concern: Dryness/ Hydration, Dullness / Radiance","Sucrose, Water, Sodium Cocoyl Glutamate, Peg-150, Black Sugar Extract, Peg-32, Sodium Cocoyl Glycinate, Glycerin, Trehalose, Betaine, Butylene Glycol, Sorbitol, Sodium Pca, Dimethicone, Phenoxyethanol, Ethylhexylglycerin, Fragrance, Caramel, Disodium Edta, Threonine, Arginine, Glycine, Hydrogenated Lecithin, Pyrus Malus (Apple) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Carica Papaya (Papaya) Fruit Extract, Alanine, Lysine, Alcohol Denat., Glutamic Acid, Proline, Serine, Tocopheryl Acetate, Ceramide Np, 1,2-Hexanediol, Sarcodon Aspratus Extract, Rice Ferment Filtrate (Sake), Lepidium Meyenii Root Extract, Cholesterol"
8,G9SKIN - Grapefruit Vita Peeling Gel,"Exfoliator Type: Physical


Product Unit: 150ml


Skin Type: Combination, Dry, Normal, Oily, Sensitive


Skin Concern: Blackheads, Sun Damage",[]
9,Secret Key -Lemon Sparkling Peeling Gel,"Exfoliator Type: Chemical


Skin Type: Sensitive


Skin Concern: Blackheads, Irritation/ Calming, Oil Control/ Pores, Sun Damage, Whitening","Purified Water, Cetrimonium Chloride, Cellulose, Proplene Glycol, Zanthoxylum Piperitum Fruit Extract, Pasqueflower Extract, Usnea Extract, Carbomer, Polysorbate 80, Lemon Water, Lemon Extract, Sparkling Water, Green Tea Water, Hollyhock Extract, Aloe Vera Leaf Extract, Witch Hazel Extract, Centella Extract, Papaya Extract, Hydrolized Collagen, Sodium Hyaluronate, Rice Extract, Brown Algae Extract, Broccolie Extract, Portulaca Extract, Camomile Extract, 1, 2-hexandiol, Disodium EDTA, Perfume"
