,name,rating,ingredients
0,"
iUNIK - Centella Calming Gel Cream 60ml
","96.7% customers satisfied|3,291 reviews","Centella Asiatica Leaf Water, Melaleuca Alternifolia (Tea Tree) Leaf Water, Butylene Glycol, Water, Niacinamide, Methyl Trimethicone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, 1,2-Hexanediol, Caprylyl Glycol, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Centella Asiatica Extract, Allantoin, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Ethylhexylglycerin, Adenosine, Dipotassium Glycyrrhizate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Pentylene Glycol, Sodium Hyaluronate, Aspalathus Linearis Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Triticum Vulgare (Wheat) Germ Extract, Brassica Oleracea Italica (Broccoli) Extract, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Medicago Sativa (Alfalfa) Extract, Raphanus Sativus (Radish) Seed Extract, Brassica Campestris (Rapeseed) Extract, Yucca Schidigera Root Extract, Commiphora Myrrha Resin Extract, Perilla Frutescens Leaf Extract, Limonene, Linalool

More"
1,"
SOME BY MI - AHA, BHA, PHA 30 Days Miracle Cream 50ml
","95.4% customers satisfied|1,490 reviews","Centella Asiatica (Gotu Kola) Extract (70.78%), Dipropylene Glycol, Glycerin, Water, Niacinamide, Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, Melaleuca Alternifolia (Tea Tree) Leaf Extract (10,000ppm), Cholesteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Melia Azadirachta (Neem) Leaf Extract, Melia Azadirachta (Neem) Flower Extract, Coccinia Indica (Ivy Gourd) Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Aloe Barbadensis (Aloe Vera) Flower Extract, Ocimum Sanctum Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Calendula Officinalis (Pot Marigold) Flower Extract, Camellia Sinensis (Green Tea) Leaf Extract, Lavandula Angustifolia (Lavender) Extract, Rosmarinus Officinalis (Rosemary) Extract, Origanum Vulgare Flower/Leaf/Stem Extract, Thymus Vulgaris (Thyme) Extract, Fructan, Albatrellus Ovinus Extract, Salix Alba (Willow) Bark Extract, Enantia Chlorantha Bark Extract, Lens Esculenta (Lentil) Seed Extract, Hamamelis Virginiana (Witch Hazel) Extract, Houttuynia Cordata (Tsi) Extract, Coptis Japonica Extract, Saccharide Isomerate, Sodium Hyaluronate, Butylene Glycol, Propanediol, Betaine, Allantoin, Madecassoside, Madecassic Acid, Asiaticoside, Asiatic Acid, Adenosine, Ceramide NP, Oleanolic Acid, Capryloyl Salicylic Acid (100ppm), Inulin Lauryl Carbamate, Polyglyceryl-3 Methylglucose Distearate, Cetearyl Glucoside, Sorbitan Olivate, Cetearyl Alcohol, Lactobionic Acid (100ppm), Citric Acid (11ppm), Ammonium Acryloyldimethyltaurate/VP Copolymer, 1,2-Hexanediol, Benzyl Glycol, Ethylhexylglycerin, Raspberry Ketone, Disodium EDTA, Citrus Aurantium Dulcis (Orange) Oil

More"
2,"
MIZON - Snail Repair Eye Cream 25ml
","95.9% customers satisfied|3,109 reviews","Snail Secretion Filtrate, Glycerin, Butylene Glycol, Limnanthes Alba (Meadowfoam) Seed Oil, Niacinamide, Cetearyl Olivate, Sorbitan Olivate, Glycerylstearate, Phytosqualene, Octyldodecyl Myristate, Cetearyl Alcohol, PEG-100 Stearate, Beeswax, Dimethicone, Stearic Acid, Sodium Hyaluronate, Polyacrylate-13, Polyisobutene, Polysorbate-20, Sodium Hyaluronate, Hydrolized Wheat Protein, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Palmitoyl Pentapeptide-4, Portulaca Oleracea Extract, Betula Platyphylla Japonica Juice, Adenosine, 1,2 octanediol, Ethylhexylglycerin, Tropolone, Disodium EDTA

More"
3,"
Rohto Mentholatum - Melano CC Vitamin C Essence
","96.1% customers satisfied|1,842 reviews","Active ingredient : Ascorbic acid (Active vitamin C), Tocopherol acetate (Vitamin E derivative), Dipotassium glycyrrhizinate, Isopropyl Methylphenol
Other ingredients: Ascorbyl Tetra-2-hexyldecanoate, Ethoxydiglycol, Alpinia Katsumadai Seed Extract (Alpinia white), BG, Edetate, Viscosity modifier, Fragrance

More"
4,"
MILKYDRESS - Wrinkle & Whitening Eye Cream 15ml
","87.8% customers satisfied|2,737 reviews","Water, Butylene Glycol, Glycereth-26, Glycerin, Niacinamide, Sodium Hyaluronate, Grapeseed Oil, Avocado Oil, Dimethicone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Octyldodeceth-5, Viscum Album (Mistletoe) Extract, Rhodiola Rosea Root Extract, Rose Damascena Flower Extract, Bis-PEG-18 Methyl Ether Dimethyl Silane, Panthenol, Arctostaphylos Uva-Ursi Leaf Extract, Physalis Alkekengi Fruit Extract, Tocopheryl Acetate, Hydrolyzed Pea Protein, Lecithin, Olive Oil, Squalane, Phytosterol, Ceramide 3, Shea Butter, Caprylyl Glycol, Ethylhexylglycerin,Tropolone, Panax Ginseng Root Extract, Camellia Sinensis Leaf Extract, Ginkgo Biloba Extract, Mulberry Root Extract, Allantoin, Adenosine, Disodium EDTA, Aloe Barbadensis Leaf Juice, Fragrance

More"
5,"
COSRX - Advanced Snail 92 All In One Cream
","97.1% customers satisfied|1,057 reviews","Snail Secretion Filtrate, Betaine, Caprylic/Capric Triglyceride, Cetearyl Olivate, Sorbitan Olivate, Cetearyl Alcohol, Carbomer, Arginine, Dimethicone, Sodium Polyacrylate, Phenoxyethanol, Sodium Hyaluronate, Stearic Acid, Allantoin, Panthenol, Xanthan Gum, Ethyl Hexanediol, Adenosine

More"
6,"
PURITO - Deep Sea Pure Water Cream
",98.4% customers satisfied|823 reviews,"Deep Sea Water (60%, skin-conditioning agents), Dipropylen Glycol (humectants), Glycerine (humectants), Caprylic/Capric triglyceride(occlusive), Sodium Acrylate/ Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer (viscosity increasing agents), Isohexadecane (emollient), Polysorbate 80 (emulsifying agents), Sorbitan Oleate (emulsifier), Niacinamide (strengthens skin barrier), Phenyltrimethicone (occlusive), Cetyl Ethylhexanoate (emollient), Cetearyl alcohol (emulsion stabilizers), Water (solvents), 1, 2-Hexanediol (stabilizers), Butylene Glycol (humectants), Sodium Hyaluronate (natural moisturizing factor/ humectants), Panthenol (strengthens skin barrier), Persimmon Extract (skin-conditioning agents), Dashima Extract (skin-conditioning agents), Sea Grape Extract (skin-conditioning agents), Tungsten extract (skin-conditioning agents), Allantoin (skin protectants), Macadamia Seed Oil (occlusive), Adenosine (Improves wrinkles), Sorbitan Stearate (emulsifier), Glyceryl Stearate (emulsifier), Carbomer (viscosity increasing agents), Arginine (pH adjusters), Caprylyl glycol (emollient), Ethylhexylglycerin (skin-conditioning agents), Disodium IDT (stabilizers)

More"
7,"
MIZON - All In One Snail Repair Cream 75ml
","95.5% customers satisfied|2,203 reviews","Snail Secretion Filtrate, Cetearyl Olivate, Sorbitan Olivate, Cetearyl Alcohol, Stearic Acid, Glyceryl Stearate, Hydrogenated Vegetable Oil, Dimethicone, Triethanolamine, Carbomer, Butylene Glycol, PEG/PPG-17/6 Copolymer, Polyacrylate-13, Polyisobutene, Polysorbate 20, Sodium Polyacrylate, Caprylyl Glycol, Ethylhexylglycerin, Tropolone, Adenosine, Sodium Hyaluronate, Portulaca Oleracea Extract, Betula Platyphylla Japonica Juice, Arnica Montana Flower Extract, Artemisia Absinthium Extract, Achillea Millefolium Extract, Gentiana Lutea Root Extract, Ethanol, Camellia Sinensis Leaf Extract, Centella Asiatica Extract, Copper Tripeptide-1, Human Oligopeptide-1, Propylene Glycol, Rubus Idaeus (Raspberry) Fruit Extract, Beta-Glucan, Palmitoyl Pentapeptide-4, Disodium EDTA

More"
8,"
PURITO - Centella Green Level Eye Cream 30ml
",95.6% customers satisfied|859 reviews,"Centella Asiatica Extract (skin-conditioning agents), Water, Hydrogenated Poly(C6-14 Olefin) (skin-conditioning agents), Glycerin (humectants), Cetyl Ethylhexanoate (emollients), Caprylic/Capric Triglyceride (occlusive), Cetyl Alcohol (emulsifying agents), 1,2-Hexanediol (stabilizers), Butylene Glycol (humectants), Dipropylene Glycol (humectants), Methyl Trimethicone (skin-conditioning agents), Pentaerythrityl Tetraisostearate (skin-conditioning agents), Dipentaerythrityl Hexa C5-9 Acid Esters (skin-conditioning agents), Potassium Cetyl Phosphate (emulsifying agents), Sodium Hyaluronate (natural Moisturizing factor/ humectants), Butyrospermum Parkii (Shea) Butter (skin-conditioning agents), Panthenol (strengthens skin barrier), Palmitoyl Dipeptide-10 (improves skin’s elasticity), Palmitoyl Tripeptide-1 (improves skin’s elasticity), Palmitoyl Tetrapeptide-7 (improves skin’s elasticity), Palmitoyl Hexapeptide-12 (improves skin’s elasticity), Polyglyceryl-2 Stearate (emulsifiers), Asiaticoside(strengthens skin barrier), Asiatic Acid (strengthens skin barrier), Madecassic Acid (strengthens skin barrier), Stearic Acid (emulsifying agents), Glyceryl Stearate (emulsifying agents), Stearyl Alcohol (stabilizers), Macadamia Ternifolia Seed Oil (skin-conditioning agents), Limnanthes Alba (Meadowfoam) Seed Oil (skin-conditioning agents), Argania Spinosa Kernel Oil (skin-conditioning agents), Caprylyl Glycol (emollient), Cetearyl Olivate (emulsifying agents), Sorbitan Olivate (emulsifying agents), Green Tea extract (soothes skin), Pancratium Maritimum Extract, (skin-conditioning agents), Acetyl Glucosamine (skin conditioning agents), Ceramide NP (strengthens skin barrier), Acrylates/C10-30 Alkyl Acrylate Crosspolymer (viscosity increasing agent), Adenosine (improves wrinkles), Tromethamine (pH adjusters), Carbomer (viscosity increasing agents), Disodium EDTA (stabilizers), Lavandula Angustifolia (Lavender) Oil (skin-conditioning agents), Citrus Aurantium Bergamia (Bergamot) Fruit Oil (skin-conditioning agents)

More"
9,"
iUNIK - Beta-Glucan Daily Moisture Cream 60ml
",97.1% customers satisfied|715 reviews,"Water, Butylene Glycol, Cyclopentasiloxane, Glycerin, Cyclohexasiloxane, Beta-Glucan, Cetearyl Alcohol, Niacinamide, Cetearyl Isononanoate, Hydrogenated Polyisobutene, Glyceryl Stearate, Polysorbate 60, Sodium Hyaluronate, Sorbitan Stearate, 1,2-Hexanediol, Caprylyl Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Cetearyl Glucoside, Allantoin, Centella Asiatica (Gotu Kola) Extract, Betaine, Prunus Salicina Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Fragaria Vesca (Strawberry) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Punica Granatum (Pomegranate) Extract, Ficus Carica (Fig) Fruit Extract, Sodium Chondroitin Sulfate, Dipotassium Glycyrrhizate, Ethylhexylglycerin, Adenosine, Aloe Barbadensis (Aloe Vera) Leaf Extract, Pentylene Glycol, Aspalathus Linearis (Rooibos) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Commiphora Myrrha (Myrrh) Resin Extract, Perilla Frutescens (Sesame) Leaf Extract, Yucca Schidigera Root Extract

More"
