,name,rating,ingredients
0,"
COSRX - Advanced Snail 96 Mucin Power Essence
","97.7% customers satisfied|4,210 reviews","Snail Secretion Filtrate, Betaine, Butylene Glycol, 1,2-Hexanediol, Sodium Polyacrylate, Phenoxyethanol, Sodium Hyaluronate, Allantoin, Ethyl Hexanediol, Carbomer, Panthenol, Arginine

More"
1,"
SOME BY MI - AHA, BHA, PHA 30 Days Miracle Serum 50ml
","93.3% customers satisfied|2,374 reviews","Water, Centella Asiatica (Gotu Kola) Extract (14,77%), Cetyl Ethylhexanoate, Caprylic/Capric Triglyceride, Glycerin, Olea Europaea (Olive) Fruit Oil, Propanediol, Alcohol, Butylene Glycol, 1,2-Hexanediol, Niacinamide, Melaleuca Alternifolia (Tea Tree) Leaf Water (10,000ppm), Camellia Sinensis (Green Tea) Leaf Extract, Scutellaria Baicalensis (Baikal Skullcap) Root Extract, Polygonum Cuspidatum (Japanese Knotweed) Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Sodium Lactate (18,375ppb), Sodium PCA (7,875ppb), Citric Acid (7,875ppb), Lactic Acid (3,150ppb), Malic Acid (3,150ppb), Glycolic Acid (3,150ppb), Pyruvic Acid (525ppb), Tartaric Acid (10.5ppb), Gaultheria Procumbens (Wintergreen) Leaf Extract (105ppm), Lactobionic Acid (105ppm), Pentylene Glycol, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Lavandula Angustifolia (Lavender) Extract, Ocimum Basilicum (Basil) Leaf Extract, Syringa Vulgaris (Lilac) Extract, Houttuynia Cordata (Tsi) Extract, Angelica Keiskei Extract, Althaea Officinalis (Marshmallow) Root Extract, Rosmarinus Officinalis (Rosemary) Extract, Madecassoside, Camellia Oleifera (Tea-Oil Camellia) Seed Oil, Oryza Sativa (Rice) Bran Oil, Camellia Sinensis (Green Tea) Seed Oil, Rosa Canina (Dog Rose) Fruit Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Sodium Chloride, Citrus Paradisi (Grapefruit) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Curcuma Longa (Turmeric) Root Extract, Melia Azadirachta (Neem) Leaf Extract, Melia Azadirachta (Neem) Flower Extract, Xanthan Gum, Pelargonium Graveolens (Geranium) Flower Oil, Boswellia Carterii (Frankincense) Oil, Melia Azadirachta Bark Extract, Pearl Powder, Amyris Balsamifera (West Indian Rosewood) Bark Oil, Moringa Oleifera Seed Oil, Ocimum Sanctum Leaf Extract, Ocimum Basilicum (Basil) Flower/Leaf Extract, Disodium EDTA, Caprylyl Glycol, Ethylhexylglycerin

More"
2,"
Benton - Snail Bee High Content Essence 60ml
","96.5% customers satisfied|4,185 reviews","Aqua (Water), Snail Secretion Filtrate, Butylene Glycol, Glycerin, Niacinamide, 1,2-Hexanediol, Aloe Barbadensis Leaf Juice,
sh-Oligopeptide-1, Bee Venom, Plantago Asiatica Extract, Laminaria Digitata Extract, Diospyros Kaki Leaf Extract, Salix Alba (Willow) Bark Extract,
Ulmus Campestris (Elm) Bark Extract, Althaea Rosea Root Extract, Aloe Barbadensis Leaf Extract, Beta-Glucan, Betaine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer,
Adenosine, Panthenol, Allantoin, Pentylene Glycol, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract,
Polysorbate 20, Lecithin, Arginine

More"
3,"
Beauty of Joseon - Repair Serum
",98.1% customers satisfied|407 reviews,"Panax Ginseng Root Water, Butylene Glycol, 1,2-Hexanediol, Snail Secretion Filtrate, Dipropylene Glycol, Water, Niacinamide, Glycerin, Propanediol, Trehalose, Xanthan Gum, Glycereth-25 PCA Isostearate, Glyceryl Acrylate/Acrylic Acid Copolymer, Ethylhexylglycerin, Carbomer, Adenosine, Theobroma Cacao (Cocoa) Seed Extract, Tricholoma Matsutake Extract, Tromethamine, Rhododendron Chrysanthum Leaf Extract, Disodium EDTA, Hydrolyzed Cicer Seed Extract, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Dextrin, Sodium Hyaluronate, Phellinus Linteus Extract, Cornus Officinalis Fruit Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Akebia Quinata Extract, Panax Ginseng Root Extract

More"
4,"
Rohto Mentholatum - Melano CC Vitamin C Essence
","96.1% customers satisfied|1,842 reviews","Active ingredient : Ascorbic acid (Active vitamin C), Tocopherol acetate (Vitamin E derivative), Dipotassium glycyrrhizinate, Isopropyl Methylphenol
Other ingredients: Ascorbyl Tetra-2-hexyldecanoate, Ethoxydiglycol, Alpinia Katsumadai Seed Extract (Alpinia white), BG, Edetate, Viscosity modifier, Fragrance

More"
5,"
Pyunkang Yul - Essence Toner 200ml
 ","97.2% customers satisfied|3,136 reviews","Astragalus Membranaceus Root Extract, 1,2-Hexanediol, Butylene Glycol, Bis-PEG-18 Methyl Ether Dimethyl Silane, Hydroxyethyl Cellulose, Carbomer, Arginine

More"
6,"
PURITO - Centella Green Level Buffet Serum 60ml
","97% customers satisfied|1,928 reviews","Centella Asiatica Extract (49%) (strengthens skin barrier), Water, Dipropylene Glycol (humectants), Glycerin (humectants), Niacinamide (strengthens skin barrier), Butylene Glycol (humectants), 1,2-Hexanediol (stabilizers), Glycereth-26 (humectants), Carbomer (viscosity increasing agents), Arginine (pH adjusters), Sclerotium Gum (viscosity increasing agents), Hydrolyzed Jojoba Esters (skin-conditioning agents), Sodium Hyaluronate (natural moisturizing factor/ humectants), Asiaticoside (strengthens skin barrier), Asiatic Acid (strengthens skin barrier), Madecassic Acid (strengthens skin barrier), Palmitoyl Hexapeptide-12 (Improves wrinkles), Palmitoyl Tripeptide-1 (Improves wrinkle), Palmitoyl Tetrapeptide-7 (Improves wrinkles), Palmitoyl Dipeptide-10 (Improves wrinkles), Caprylyl Glycol (emollient), Polyglyceryl-10 Myristate(solubilizing agents), Panthenol(skin-conditioning agents), Polyglyceryl-10 Laurate(solubilizing agents), Hydrogenated Lecithin (emulsifier), Camellia Sinensis Leaf Extract (soothes skin), Pancratium Maritimum Extract (skin-conditioning agents), Citrus Aurantium Bergamia (Bergamot) Fruit Oil(skin-conditioning agents), Dipotassium Glycyrrhizate(skin-conditioning agents), Disodium EDTA(stabilizers), Adenosine (Improves wrinkles), Lavandula Angustifolia (Lavender) Oil(skin-conditioning agents), Ceramide NP (strengthens skin barrier)

More"
7,"
iUNIK - Propolis Vitamin Synergy Serum 50ml
","97.2% customers satisfied|2,125 reviews","Propolis Extract, Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract, Water, Butylene Glycol, Glycerin, Methylpropanediol, Niacinamide, Dipropylene Glycol, 1,2-Hexanediol, Rosa Damascena (Rose) Flower Water, Sodium Hyaluronate, Betaine, Glycosyl Trehalose, Honey Extract, Beta-Glucan, Hydrogenated Starch Hydrolysate, Allantoin, Carbomer, Arginine, Hydroxyethylcellulose, Adenosine, Dipotassium Glycyrrhizate, Pentylene Glycol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Centella Asiatica (Gotu Kola) Extract, Portulaca Oleracea (Green Purslane) Extract, Hamamelis Virginiana (Witch Hazel) Extract, Punica Granatum (Pomegranate) Extract, Ficus Carica (Fig) Fruit Extract, Morus Alba (White Mulberry) Fruit Extract, Ginkgo Biloba (Maidenhair Tree) Nut Extract, Caprylyl Glycol

More"
8,"
PURITO - Centella Unscented Serum
","97.5% customers satisfied|1,103 reviews","Centella Asiatica Extract(49%) (strengthens skin barrier), Water, Glycerin (humectants), Dipropylene Glycol (humectants), Niacinamide (strengthens skin barrier), Butylene Glycol (humectants), 1,2-Hexanediol (stabilizers), Glycereth-26 (humectants), Ceramide NP (strengthens skin barrier), Sodium Hyaluronate (natural moisturizing factor/ humectants), Asiaticoside (strengthens skin barrier), Asiatic Acid (strengthens skin barrier), Madecassic Acid (strengthens skin barrier), Palmitoyl Hexapeptide-12 (improves elasticity), Palmitoyl Tripeptide-1 (improves elasticity), Palmitoyl Tetrapeptide-7 (improves elasticity), Palmitoyl Dipeptide-10 (improves elasticity), Carbomer (viscosity increasing agents), Arginine (pH adjusters), Sclerotium Gum (viscosity increasing agents), Hydrolyzed Jojoba Esters (skin-conditioning agents), Caprylyl Glycol (emollient), Polyglyceryl-10 Myristate (solubilizers), Panthenol (strengthens skin barrier), Polyglyceryl-10 Laurate (solubilizers), Hydrogenated Lecithin (stabilizers), Camellia Sinensis Leaf Extract (soothes skin), Pancratium Maritimum Extract (skin-conditioning agent), Dipotassium Glycyrrhizate (stabilizers), Disodium EDTA, Adenosine (improves wrinkles)

More"
9,"
Beauty of Joseon - Glow Serum
",98.2% customers satisfied|235 reviews,"Propolis Extract, Dipropylene Glycol, Glycerin, Butylene Glycol, Water, Niacinamide, 1,2-Hexanediol, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Sodium Hyaluronate, Curcuma Longa (Turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Theobroma Cacao (Cocoa) Seed Extract, Melaleuca Alternifolia (Tea Tree) Extract, Centella Asiatica Extract, Corallina Officinalis Extract, Lotus Corniculatus Seed Extract, Calophyllum Inophyllum Seed Oil, Betaine Salicylate, Sodium Polyacryloyldimethyl Taurate, Tromethamine, Polyglyceryl-10 Laurate, Caprylyl Glycol, Ethylhexylglycerin, Dextrin, Pentylene Glycol, Octanediol, Tocopherol, Xanthan Gum, Carbomer

More"
