,name,rating,ingredients
0,"
THE FACE SHOP - Real Nature Face Mask 1pc (20 Types) 20g
",97.2% customers satisfied|972 reviews,"Water, Glycerin, 1,2-Hexanediol, Panthenol, Sodium Hyaluronate, Dimethicone, Xantham Gum, Carbomer, Fragrance, Glycereth-26, Allantoin, Persea Gratissima (Avocado) Fruit Extract (400mg), Methyl Glucose Sesquistearate, Oryza Sativa (Rice) Extract (400mg), PEG-60 Hydrogenated Castor Oil, Denatured Alcohol, Theobroma Cacao Seed Extract, Nelumbium Speciosum Flower Extract (400mg), Shea Butter, Laminaria Japonica Extract (400mg), Betaine, Cyclopentasiloxane, Propanediol, Citrus Paradisi Fruit Extract, Punica Granatum Fruit Extract (1000mg), Olea Europaea Fruit Extract (400mg), Ethylhexylglycerin, Calendula Officinalis Flower Extract (400mg), Trisodium EDTA, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Camellia Sinensis Leaf Extract (400mg), Solanum Tuberosum Pulp Extract (400mg), Caprylin/Capric Triglycerides, Dipropylene Glycol, Bambusa Vulgaris Extract (400mg), Trehalose, Lecithin, Butyrospermum Parkii (Shea) Butter Extract (400mg), Pentaerythrityl Tetraethylhexanoate, Honey Extract (400mg), Cucumis Sativus Fruit Extract (400mg), Panax Ginseng Root Extract (400mg), Hydrogenated Lecithin, Potassium Hydroxide, Aloe Barbadensis Leaf Extract (400mg), Ganoderma Lucidum (Mushroom) Extract (400mg), Phenoxyethanol, Citrus Limon (Lemon) Fruit Extract (400mg), Melaleuca Alternifolia (Tea Tree) Leaf Extract (400mg), Phaseolus Radiatus Seed Extract (400mg), Vaccinium Angustifolium (Blueberry) Fruit Extract (400mg), Butylene Glycol, Disodium EDTA, Caprylic/Capric Triglyceride, Tromethamine

More"
1,"
BARULAB - The Clean Vegan Mask - 10 Types
",100% customers satisfied|304 reviews,"Water, Glycerin, Dipropylene Glycol, Butylene Glycol, 1,2-Hexanediol, Carbomer, Allantoin, Coptis Japonica Root Extract, Schizandra Chinensis Fruit Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Zingiber Officinale (Ginger) Root Extract, Xanthan Gum, Ethylhexylglycerin, Disodium EDTA, Polyglyceryl-10 Myristate, Polyglyceryl-10 Laurate, Caprylyl Glycol, Citrus Paradisi (Grapefruit) Peel Oil, Cupressus Sempervirens Oil, Olea Europaea (Olive) Fruit Oil, Juniperus Mexicana Oil, Magnesium Ascorbyl Phosphate (50ppm), Aloe Ferox Leaf Extract, Olea Europaea (Olive) Fruit Extract, Camellia Sinensis Leaf Extract (1, Eucalyptus Globulus Leaf Oil, Camellia Sinensis Leaf Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Lavandula Angustifolia (Lavender) Oil, Citrus Tangerina (Tangerine) Peel Oil, Hydrolyzed Vegetable Protein, Artemisia Absinthium Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Centella Asiatica Extract, Canarium Luzonicum Gum Nonvolatiles, Butyrospermum Parkii (Shea Butter) Extract, Pinus Palustris Oil, Citrus Limon (Lemon) Fruit Extract, Sodium Hyaluronate, Tartaric Acid, Hydroxyethylcellulose, Chamomilla Recutita (Matricaria) Flower Oil, Betaine Salicylate, Arginine, Zingiber Officinale (Ginger) Root Oil, Niacinamide, Adenosine, 700ppm), Citrus Nobilis (Mandarin Orange) Oil, Geranium Maculatum Oil, Maltodextrin, Arginine Hydroxyethylcellulose, Rosmarinus Officinalis (Rosemary) Leaf Oil

More"
2,"
LANEIGE - Lip Sleeping Mask Mini
","94.7% customers satisfied|1,834 reviews","Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl / Isostearyl / Cetyl / Stearyl / Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Butyrospermum Parkii (Shea) Butter, Synthetic Wax, Euphorbia Cerifera (Candelilla) Wax / Candelilla Cera / Cire de Candelilla, Sucrose Tetrastearate Triacetate, Butylene / Ethylene / Styrene Copolymer, Ethylene / Propylene / Styrene Copolymer, Mica (CI 77019), Astrocaryum Murumuru Seed Butter, Titanium Dioxide (CI 77891), Dimethicone, Fragrance / Parfum, Polyglyceryl-2 Diisostearate, Dehydroacetic Acid, Methicone, Copernicia Cerifera (Carnauba) Wax / Cera Carnauba / Cire de Carnauba, Polyglyceryl-2 Triisostearate, Yellow 6 Lake (CI 15985), Red 6 (CI 15850), Polyhydroxystearic Acid, Water, Potassium Alginate, Propanediol, Glycerin, Alcohol, Lycium Chinense Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Fragaria Chiloensis (Strawberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Sapindus Mukorossi Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Rubus Chamaemorus Seed Extract, Coffea Arabica (Coffee) Seed Extract, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside

More"
3,"
COSRX - Ultimate Nourishing Rice Overnight Spa Mask
","97.4% customers satisfied|2,101 reviews","Oryza Sativa (Rice) Extract, Butylene Glycol, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Betaine, Niacinamide, Dimethicone, 1,2-Hexanediol, Cetearyl Olivate, Sorbitan Olivate, Elaeis Guineensis(Palm) oil, Elaeis Guineensis(Palm) Kernel Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetearyl Alcohol, Ethylhexylglycerin, Arginine, Carbomer, Allantoin, Xanthan Gum

More"
4,"
I'm from - Honey Mask MINI
",98.3% customers satisfied|705 reviews,"Honey, Caprylic/Capric Triglyceride, PEG-7 Glyceryl Cocoate, Disteardimonium Hectorite, Macadamia Ternifolia Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Pentylene Glycol, Microcrystalline Wax, Polysorbate 20, Butyrospermum Parkii (Shea) Butter, Beeswax, Tocopheryl Acetate, Argania Spinosa Kernel Extract, Corylus Avellana (Hazelnut) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Snail Secretion Filtrate, Water, Bambusa Vulgaris Water, Nelumbo Nucifera Flower Water, Aloe Barbadensis Leaf Water, Propolis Extract, Beta-Glucan, Bee Venom, Citrus Paradisi (Grapefruit) Fruit Extract, Sophora Angustifolia Root Extract, Eugenia Caryophyllus (Clove) Flower Extract, Eucalyptus Globulus Leaf Extract, Punica Granatum Fruit Extract, Bambusa Vulgaris Extract, Butylene Glycol, Glycerin

More"
5,"
I'm from - Honey Mask
",98.1% customers satisfied|660 reviews,"Honey, Caprylic/Capric Triglyceride, PEG-7 Glyceryl Cocoate, Disteardimonium Hectorite, Macadamia Ternifolia Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Pentylene Glycol, Microcrystalline Wax, Polysorbate 20, Butyrospermum Parkii (Shea) Butter, Beeswax, Tocopheryl Acetate, Argania Spinosa Kernel Extract, Corylus Avellana (Hazelnut) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Snail Secretion Filtrate, Water, Bambusa Vulgaris Water, Nelumbo Nucifera Flower Water, Aloe Barbadensis Leaf Water, Propolis Extract, Beta-Glucan, Bee Venom, Citrus Paradisi (Grapefruit) Fruit Extract, Sophora Angustifolia Root Extract, Eugenia Caryophyllus (Clove) Flower Extract, Eucalyptus Globulus Leaf Extract, Punica Granatum Fruit Extract, Bambusa Vulgaris Extract, Butylene Glycol, Glycerin

More"
6,"
MIZON - Snail Repair Intensive Gold Eye Gel Patch
",94.6% customers satisfied|354 reviews,"Water, Glycerin, Calcium Chloride, Ceratonia Siliqua (Carob) Gum, Xanthan Gum, Niacinamide, Dipropylene Glycol, Methylpropanediol, Snail Secretion Filtrate (10,000ppm), 1,2-hexanediol, Pentylene Glycol, Citrus Grandis (Grapefruit) Seed Extract, Bambusa Textilis Stem Extract, Pinus Palustris Leaf Extract, Chondrus Crispus Powder, Hydrolyzed Collagen, PEG-60 Hydrogenated Castor Oil, Ethylhexylglycerin, Phellinus Linteus Extract, Inonotus Obliquus (Mushroom) Extract, Gold (0.89ppm), Adenosine, Octapeptide-7, sh-Octapeptide-4, sh-Oligopeptide-4, sh-Oligopeptide-9, sh-Decapeptide-7, sh-Decapeptide-9, sh-Pentapeptide-19, Caffeoyl Tripeptide-1, Hydroxyethylcellulose, Synthetic Fluorphlogopite, Tin Oxide (CI 77861), Titanium Dioxide (CI 77891), Iron Oxide (CI 77491), Phenoxyethanol, Disodium EDTA, Fragrance

More"
7,"
LANEIGE - Lip Sleeping Mask - 4 Types
","97.8% customers satisfied|6,377 reviews","Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Microcrystalline Wax, Butyrospermum Parkii (Shea) Butter, Synthetic Wax, Ethylene/Propylene/Styrene Copolymer, Sucrose Tetrastearate Triacetate, Mica, Euphorbia Cerifera (Candelilla) Wax, Candelilla Wax Esters, Astrocaryum Murumuru Seed Butter, Fragrance, Glyceryl Caprylate, Titanium Dioxide (CI 77891), Butylene/Ethylene/Styrene Copolymer, Polyglyceryl-2 Diisostearate, Copernicia Cerifera (Carnauba) Wax, Methicone, Polyglyceryl-2 Triisostearate, Brilliant Blue FCF, Cocos Nucifera (Coconut) Oil, Theobroma Cacao (Cocoa) Seed Butter, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Limonene, Quinoline Yellow WS, Ascorbic Acid, Linalool, Purified Water, Glycerin, Propanediol, BHT, Punica Granatum Fruit Juice, Rubus Idaeus (Raspberry) Juice, Vitis Vinifera (Grape) Juice

More"
8,"
HOLIKA HOLIKA - Pig Clear Black Head 3-Step Kit
","90.3% customers satisfied|1,163 reviews","Hamamelis Virginiana (Witch Hazel) Water, Butylene Glycol, Mentha Piperita (Peppermint) Leaf Extract, Thymus Vulgaris (Thyme) Flower/Leaf Extract, Caprylyl Glycol, 1,2-Hexanediol, Propanediol, PVP, Dimethicone Copolyol, Kaolin, VP/VA Copolymer, Propylene Glycol, Methylparaben, Glycerin, Sodium Hyaluronate, Erythritol, Trehalose, Dipotassium Glycyrrhizate, Diospyros Kaki Leaf Extract, PEG-60 Hydrogenated Castor Oil, Chlorphenesin, Phenoxyethanol, Disodium EDTA, Vitis Vinifera (Grape) Fruit Extract, VacCInium Myrtillus Fruit/Leaf Extract, Melissa OffiCInalis Leaf Extract, Jasminum OffiCInale (Jasmine) Extract, Chrysanthellum Indicum Extract, Titanium Dioxide (CI 77891), Hypericum Perforatum Extract, Saponaria Officinalis (Soapwort) Root Extract, HydroxyEthyl cellulose, Aspalathus Linearis (Rooibos) Leaf Extract, Vitis Vinifera (GrAPe) Fruit Extract, Hypericum Perforatum (St. John's Wort) Extract, Camellia Sinensis Leaf Extract, Juniperus Communis Fruit Extract, Fragrance, CItrus Limon (Lemon) Fruit Extract, Viscum Album (Mistletoe) Extract, Aspalathus Linearis Leaf Extract, Saccharum Officinarum (Sugarcane) Extract, Fragrance
Step 2: Water, Salvia Officinalis (Sage) Leaf Extract, CItrus Aurantifolia (Lime) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Arctium Majus (Burdock) Root Extract, Citrus Limon (Lemon) Fruit Extract, Rosmarinus OffiCInalis (Rosemary) Leaf Extract, Acer Saccharum (Sugar MAPle) Extract, Saccharum OffiCInarum (Sugar Cane) Extract, Fragrance (Parfum), Vaccinium Myrtillus (Bilberry) Fruit/Leaf Extract, Aloe Barbadensis Leaf Juice, Rosmarinus Officinalis (Rosemary) Leaf Extract, Step 1: Water, Illicium Verum (Anise) Fruit Extract, Chrysanthemum Indicum Flower Extract, [STEP 1]
Water, Juniperus Communis (Juniper) Fruit Extract, Camellia Sinensis (Green Tea) Leaf Extract, Melissa Officinalis (Lemon Balm) Leaf Extract, Sodium Lauroyl Sarcosinate, SAPonaria OffiCInalis Root Extract, Fragrance
[STEP 2]
Water, Aloe Barbadensis (Aloe Vera) Leaf Juice, CI 17200
Step 3: Water, Citrus Aurantifolia (Lime) Fruit Extract, IlliCIum Verum (Anise) Fruit Extract, Jasminum Officinale (Jasmine) Flower Water, CItrus Aurantium DulCIs (Orange) Fruit Extract, Red 33 (CI 17200)
[STEP-3]
Water, Arctium Majus Root Extract, Titanium Dioxide, Salvia OffiCInalis (Sage) Leaf Extract, Methyl Hydroxyethylcellulose, Citrus Aurantium Dulcis (Orange) Fruit Extract, CItrus Medica Limonum (Lemon) Fruit Extract

More"
9,"
I'm from - Mugwort Mask MINI
",96% customers satisfied|534 reviews,"Water, Butylene Glycol, Glycerin, Artemisia Princeps Leaf Powder, 1,2-Hexanediol, Cordyceps Sinensis Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Methylpropanediol, Ligularia Fishceri Leaf Extract, Rosa Davurica Bud Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica Extract, Glyceryl Polyacrylate, Sodium Polyacrylaste, Carbomer, Arginine, Phenoxyethanol, Allantoin, Dipotassium Glycyrrhizate, Panthenol, Xanthan Gum, Disodium EDTA

More"
