,name,rating,ingredients
0,"
Secret Key - Lemon Sparkling Peeling Gel 120ml
","97.9% customers satisfied|3,356 reviews","Purified Water, Cetrimonium Chloride, Cellulose, Proplene Glycol, Zanthoxylum Piperitum Fruit Extract, Pasqueflower Extract, Usnea Extract, Carbomer, Polysorbate 80, Lemon Water, Lemon Extract, Sparkling Water, Green Tea Water, Hollyhock Extract, Aloe Vera Leaf Extract, Witch Hazel Extract, Centella Extract, Papaya Extract, Hydrolized Collagen, Sodium Hyaluronate, Rice Extract, Brown Algae Extract, Broccolie Extract, Portulaca Extract, Camomile Extract, 1, 2-hexandiol, Disodium EDTA, Perfume

More"
1,"
HOLIKA HOLIKA - Pig Clear Black Head 3-Step Kit
","90.3% customers satisfied|1,163 reviews","Hamamelis Virginiana (Witch Hazel) Water, Butylene Glycol, Mentha Piperita (Peppermint) Leaf Extract, Thymus Vulgaris (Thyme) Flower/Leaf Extract, Caprylyl Glycol, 1,2-Hexanediol, Propanediol, PVP, Dimethicone Copolyol, Kaolin, VP/VA Copolymer, Propylene Glycol, Methylparaben, Glycerin, Sodium Hyaluronate, Erythritol, Trehalose, Dipotassium Glycyrrhizate, Diospyros Kaki Leaf Extract, PEG-60 Hydrogenated Castor Oil, Chlorphenesin, Phenoxyethanol, Disodium EDTA, Vitis Vinifera (Grape) Fruit Extract, VacCInium Myrtillus Fruit/Leaf Extract, Melissa OffiCInalis Leaf Extract, Jasminum OffiCInale (Jasmine) Extract, Chrysanthellum Indicum Extract, Titanium Dioxide (CI 77891), Hypericum Perforatum Extract, Saponaria Officinalis (Soapwort) Root Extract, HydroxyEthyl cellulose, Aspalathus Linearis (Rooibos) Leaf Extract, Vitis Vinifera (GrAPe) Fruit Extract, Hypericum Perforatum (St. John's Wort) Extract, Camellia Sinensis Leaf Extract, Juniperus Communis Fruit Extract, Fragrance, CItrus Limon (Lemon) Fruit Extract, Viscum Album (Mistletoe) Extract, Aspalathus Linearis Leaf Extract, Saccharum Officinarum (Sugarcane) Extract, Fragrance
Step 2: Water, Salvia Officinalis (Sage) Leaf Extract, CItrus Aurantifolia (Lime) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Arctium Majus (Burdock) Root Extract, Citrus Limon (Lemon) Fruit Extract, Rosmarinus OffiCInalis (Rosemary) Leaf Extract, Acer Saccharum (Sugar MAPle) Extract, Saccharum OffiCInarum (Sugar Cane) Extract, Fragrance (Parfum), Vaccinium Myrtillus (Bilberry) Fruit/Leaf Extract, Aloe Barbadensis Leaf Juice, Rosmarinus Officinalis (Rosemary) Leaf Extract, Step 1: Water, Illicium Verum (Anise) Fruit Extract, Chrysanthemum Indicum Flower Extract, [STEP 1]
Water, Juniperus Communis (Juniper) Fruit Extract, Camellia Sinensis (Green Tea) Leaf Extract, Melissa Officinalis (Lemon Balm) Leaf Extract, Sodium Lauroyl Sarcosinate, SAPonaria OffiCInalis Root Extract, Fragrance
[STEP 2]
Water, Aloe Barbadensis (Aloe Vera) Leaf Juice, CI 17200
Step 3: Water, Citrus Aurantifolia (Lime) Fruit Extract, IlliCIum Verum (Anise) Fruit Extract, Jasminum Officinale (Jasmine) Flower Water, CItrus Aurantium DulCIs (Orange) Fruit Extract, Red 33 (CI 17200)
[STEP-3]
Water, Arctium Majus Root Extract, Titanium Dioxide, Salvia OffiCInalis (Sage) Leaf Extract, Methyl Hydroxyethylcellulose, Citrus Aurantium Dulcis (Orange) Fruit Extract, CItrus Medica Limonum (Lemon) Fruit Extract

More"
2,"
Pyunkang Yul - Low pH Pore Deep Cleansing Foam
",97.8% customers satisfied|248 reviews,"Water, Sodium Cocoyl Isethionate, Glycerin, Coconut Acid, Polyquaternium-67, 1,2-Hexanediol, Sodium Isethionate, Sodium Methyl Cocoyl Taurate, Litsea Cubeba (May Chang) Oil, Sodium Chloride, Disodium EDTA, Ethylhexylglycerin, Sodium Acetate, Butylene Glycol, Centella Asiatica (Gotu Kola) Extract, Portulaca Oleracea (Green Purslane) Extract, Camellia Sinensis (Green Tea) Leaf Extract, Hamamelis Virginiana (Witch Hazel) Extract, Sodium Hyaluronate, Beta-Glucan, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Pentylene Glycol, Caprylyl Glycol, Diatomaceous Earth, Isopropyl Alcohol, Citric Acid, Vigna Angularis Seed Extract

More"
3,"
RiRe - Style Black Head Brush Cleanser 20ml
","90.5% customers satisfied|2,491 reviews","Water, Myristic Acid, Butylene Glycol, Stearic Acid, Potassium Hydroxide, Glycerin, Cocamide DEA, Potassium Cocoyl Glycinate, Fragrance, Shea Butter, Sorbitan Olivate, Methylparaben, BHT, Propylparaben, Disodium EDTA, Hydroxypropyl Methylcellulose, Peat Water, Citric Acid, Phenoxyethanol, Hydrolyzed Collagen, Beta-glucan, Glycine Max (Soybean) Seed Extract, Sesamum Indicum (Sesame) Seed Extract, Ethylhexylglycerin, Arnica Montana Flower Extract, Artemisia Absinthium Extract, Oryza Sativa (Rice) Extract, Achillea Millefolium Extract, Gentiana Lutea Root Extract, Propylene Glycol, Lecithin, Simmondsia Chinensis (Jojoba) Seed Oil, Cetyl Phosphate, Nasturtium Officinale Extract, Creatine, Cholesterol, Choles-24, Sodium Hyaluronate, Ceteth-24, Saccharide Isomerate, Beta Sitosterol, Macadamia Integrifolia Seed Oil, Ceramide NP, Potassium Sorbate, 1,2-Hexanediol

More"
4,"
Elizavecca - Witch Piggy Hell Pore Control Hyaluronic Acid 97
","95.5% customers satisfied|1,030 reviews","Sodium Hyaluronate, Niacinamide, 1,2-Hexanediol, Propylene Glycol , PEG-60 Hydrogenated Castor Oil, Carbomer , Arginine , Adenosine , Allantoin , Fragrance

More"
5,"
COSRX - AHA 7 Whitehead Power Liquid
",95.7% customers satisfied|757 reviews,"Pyrus Malus (Apple) Fruit Water, Butylene Glycol, Glycolic Acid, Niacinamide, Sodium Hydroxide, 1,2-Hexanediol, Panthenol, Sodium Hyaluronate, Xanthan Gum, Ethyl Hexanediol

More"
6,"
COSRX - One Step Original Clear Pad
","97.6% customers satisfied|1,330 reviews","Salix Alba (Willow) Bark Water, Butylene Glycol, Glycerin, Betaine Salicylate, 1,2-Hexanediol, Arginine, PEG-60 Hydrogenated Castor Oil, Panthenol, Allantoin, Ethyl Hexanediol, Citrus Aurantium Dulcis (Orange) Peel Oil, Sodium Hydroxide, Sodium Hyaluronate, MelaleucaAlternifolia (Tea Tree) Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil

More"
7,"
Dear, Klairs - Pore Gentle Black Sugar Charcoal Soap
",94.4% customers satisfied|312 reviews,"Water, Sodium Hydroxide, Coconut Oil, Palm Oil, Sunfulower Oil, Jojoba Oil, Castor Oil, Olive Oil, Theobroma Cacao(Cocoa)Seed Butter , Grapeseed Oil, Black Strap Powder , Dl-ΑTocoperol, Volanic Ash, Ghassoul, Charcoal, Lavender Oil, Eucalyptus Oil

More"
8,"
Elizavecca - Witch Piggy Hell Pore Blemish Spot Patch
",92.2% customers satisfied|197 reviews,"Hot Melt Adhesive2, Sodium Carboxymethyl Cellulose, Polyurethane Film (Colorless and Translucent)

More"
9,"
Pyunkang Yul - Peeling Gel
",95.7% customers satisfied|158 reviews,"Water, Quaternium-60, Carbomer, 1,2-Hexanediol, Carica Papaya (Papaya) Fruit Extract, Citric Acid, Scutellaria Baicalensis (Baikal Skullcap) Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Sodium Hyaluronate, Hydroxyethyl Urea, Ceramide NP, Centella Asiatica (Gotu Kola) Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Allantoin, Betaine Salicylate, Octyldodecanol, Polygonum Cuspidatum (Japanese Knotweed) Root Extract, Camellia Sinensis (Green Tea) Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Pentylene Glycol, Butylene Glycol, Caprylyl Glycol, Disodium EDTA, Propylene Glycol

More"
